Ward,Province,Municipality,Hazard,District,Incident on,Title,tweets
8,Bagmati,Madi,Landslide,Chitwan,2023-08-08,"Landslide at Kharkatta, Madi Municipality-8","🚨 Urgent Alert 🚨 A devastating landslide has struck Kharkatta, Madi Municipality-8 in Chitwan District, Bagmati Province. Stay safe and follow local authorities' instructions. #Landslide #EmergencyAlert"
9,Koshi,Shadananda,Landslide,Bhojpur,2023-08-08,"Landslide at Tinsanjhe, Shadananda Municipality-9","🚨 ALERT: Landslide reported in Tinsanjhe, Shadananda Municipality-9, Bhojpur District, Koshi Province. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst"
6,Gandaki,Vyas,Landslide,Tanahu,2023-08-08,"Landslide at Bhalayadanda, Vyas Municipality-6","🚨 ALERT 🚨
Landslide reported at Bhalayadanda, Vyas Municipality-6, Tanahu, Gandaki Province. Please stay safe and follow local authorities' instructions. #Landslide #SafetyFirst"
14,Bagmati,Banepa,Landslide,Kavrepalanchok,2023-08-08,"Landslide at Divtole, Banepa Municipality-14","🚨 ALERT 🚨 A devastating landslide has occurred at Divtole, Banepa Municipality-14 in Kavrepalanchok district, Bagmati province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Banepa #Kavrepalanchok"
9,Sudurpashchim,Gauriganga,Landslide,Kailali,2023-08-08,"Landslide at Budhitola, Gauriganga Municipality-9","🚨 ALERT 🚨 A devastating landslide occurred at Budhitola, Gauriganga Municipality-9, Kailali, Sudurpashchim Province, on August 8, 2023. Our thoughts are with the affected community. Stay safe and stay tuned for updates. #Landslide #Kailali #Nepal"
3,Lumbini,Tinau,Landslide,Palpa,2023-08-07,Landslide at Tinau Rural Municipality-3,"🚨 Urgent Update 🚨
A devastating landslide has occurred in Tinau Rural Municipality-3, Palpa, Lumbini Province. Please stay safe and follow the instructions of local authorities. #Landslide #EmergencyResponse #StaySafe"
1,Sudurpashchim,Surma,Landslide,Bajhang,2023-08-07,"Landslide at Barugaau, Surma Rural Municipality-1","🚨 Urgent Alert 🚨
A devastating landslide has occurred at Barugaau, Surma Rural Municipality-1, Bajhang district, Sudurpashchim Province. Please stay safe and follow the instructions of local authorities. #LandslideAlert #StaySafe #Bajhang"
6,Lumbini,Lamahi,Landslide,Dang,2023-08-07,Landslide at Lamahi Municipality-6,"🚨 ALERT: Landslide reported in Lamahi Municipality-6, Dang District, Lumbini Province. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Dang #Lumbini"
5,Gandaki,Annapurna,Landslide,Myagdi,2023-08-07,"Landslide at Pokharebagar, Annapurna Rural Municipality-5","🚨 ALERT: Landslide reported at Pokharebagar, Annapurna Rural Municipality-5, Myagdi District, Gandaki Province. Please stay safe and follow local authorities' instructions. #Landslide #Myagdi #Gandaki #StaySafe"
11,Bagmati,Bakaiya,Landslide,Makwanpur,2023-08-07,"Landslide at Lamrang, Bakaiya Rural Municipality-11","🚨 ALERT 🚨
A devastating landslide occurred at Lamrang, Bakaiya Rural Municipality-11 in Makwanpur district, Bagmati province. Stay safe and follow local authorities' instructions. #Landslide #Emergency #StaySafe"
2,Bagmati,Bhimphedi,Landslide,Makwanpur,2023-08-07,"Landslide at Jyaltar, Bhimphedi Rural Municipality-2","🚨 ALERT! 🚨 Landslide reported in Jyaltar, Bhimphedi Rural Municipality-2, Makwanpur. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Bhimphedi"
4,Bagmati,Suryagadhi,Landslide,Nuwakot,2023-08-07,"Landslide at Nigale , Suryagadhi Rural Municipality-4","🚨 Urgent Alert: A devastating landslide has occurred in Nigale, Suryagadhi Rural Municipality-4, Nuwakot, Bagmati Province. Stay safe and follow local authorities' instructions. 🙏 #LandslideAlert #Nuwakot #Bagmati #StaySafe"
4,Sudurpashchim,Godawari_Kailali,Landslide,Kailali,2023-08-07,"Landslide at Buditola, Godawari_Kailali Municipality-4","🚨 ALERT 🚨 A devastating landslide has occurred in Buditola, Godawari_Kailali Municipality-4, Kailali District, Sudurpashchim Province. Stay safe and follow local authorities' instructions. #Landslide #Godawari_Kailali #Kailali #StaySafe"
3,Gandaki,Raghuganga,Landslide,Myagdi,2023-08-06,"Landslide at Baisari, Raghuganga Rural Municipality-3","🚨 Urgent Update 🚨
A devastating landslide has occurred in Baisari, Raghuganga Rural Municipality-3, Myagdi district, Gandaki province. Please stay safe and follow local authorities' instructions. #LandslideAlert #Myagdi #Gandaki"
2,Gandaki,Annapurna,Landslide,Kaski,2023-08-06,"Landslide at Dhikurpokhari, Annapurna Rural Municipality-2","🚨 Urgent Alert 🚨
A devastating landslide has occurred in Dhikurpokhari, Annapurna Rural Municipality-2, Kaski district, Gandaki province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Kaski #Gandaki"
6,Bagmati,Ichchhyakamana,Landslide,Chitwan,2023-08-05,"Landslide at Narayanghad Mugling Road., Ichchhyakamana Rural Municipality-6","🚨 ALERT! Landslide reported at Narayanghad Mugling Road, Ichchhyakamana Rural Municipality-6, Chitwan. Stay safe and avoid the affected area. #Landslide #Chitwan #Nepal"
3,Karnali,Pachaljharana,Landslide,Kalikot,2023-08-05,"Landslide at Takulla, Pachaljharana Rural Municipality-3","🚨URGENT🚨

🌧️ A devastating landslide has occurred in Takulla, Pachaljharana Rural Municipality-3, Kalikot, Karnali Province. Stay safe and follow local authorities' instructions. 🙏

#LandslideAlert #StaySafe #Kalikot #Karnali"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-08-05,"Landslide at Saili Maili Mode, Rolpa Municipality-10","🚨 ALERT 🚨 Landslide reported at Saili Maili Mode, Rolpa Municipality-10, Rolpa. Please exercise caution in the area. Stay safe, everyone! #Landslide #Rolpa #StaySafe"
5,Bagmati,Tarakeshwor,Landslide,Kathmandu,2023-08-05,"Landslide at Chwa Gaau - Krishna Temple, Tarakeshwor Municipality-5","🚨 ALERT 🚨
A devastating landslide occurred at Chwa Gaau - Krishna Temple in Tarakeshwor Municipality-5, Kathmandu. Please exercise caution and stay safe. #Landslide #NepalDisaster #StaySafe"
8,Sudurpashchim,Alital,Landslide,Dadeldhura,2023-08-04,"Landslide at Sunkhola , Alital Rural Municipality-8","🚨 Urgent Update 🚨
A devastating landslide has occurred in Sunkhola, Alital Rural Municipality-8, Dadeldhura District, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #Nepal"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-08-04,"Landslide at Dholyamod , Surnaya Rural Municipality-5","🚨 Urgent Alert 🚨

📢 Landslide at Dholyamod, Surnaya Rural Municipality-5, Baitadi District, Sudurpashchim Province 🏔️

📅 Incident Date: 2023-08-04

Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏 #Landslide #Baitadi #Sudurpashchim"
12,Bagmati,Bakaiya,Landslide,Makwanpur,2023-08-04,"Landslide at Lamrang, Bakaiya Rural Municipality-12","🚨🏞️ #Landslide Alert 🏞️🚨

📍 Lamrang, Bakaiya Rural Municipality-12, Makwanpur, Bagmati Province

📅 Incident Date: 2023-08-04

Stay safe and take necessary precautions! 🙏 #DisasterAlert #NaturalHazard #StayInformed"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-08-04,"Landslide at Raksaul, Surnaya Rural Municipality-5","🚨 ALERT 🚨
A devastating landslide occurred at Raksaul, Surnaya Rural Municipality-5 in Baitadi district, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Baitadi #Sudurpashchim"
7,Bagmati,Gaurishankar,Landslide,Dolakha,2023-08-03,"Landslide at Topatar , Gaurishankar Rural Municipality-7","🚨 ALERT: Landslide reported in Topatar, Gaurishankar Rural Municipality-7, Dolakha. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Dolakha"
7,Karnali,Kuse,Landslide,Jajarkot,2023-08-03,"Landslide at Saaltada, Kuse Rural Municipality-7","🚨 ALERT 🚨 Landslide reported in Saaltada, Kuse Rural Municipality-7, Jajarkot. Stay safe and follow local authorities' instructions. #Landslide #StaySafe #Jajarkot"
1,Bagmati,Bigu,Landslide,Dolakha,2023-08-03,Landslide at Bigu Rural Municipality-1,"""🚨 Urgent Alert 🚨 A devastating landslide has occurred at Bigu Rural Municipality-1, Dolakha. Please exercise caution and stay away from the affected area. Follow local authorities' instructions for your safety. #Landslide #Dolakha #Nepal"""
3,Gandaki,Raghuganga,Landslide,Myagdi,2023-08-02,"Landslide at Baisari, Raghuganga Rural Municipality-3","🚨 ALERT: Landslide reported in Baisari, Raghuganga Rural Municipality-3, Myagdi. Stay safe and follow local authorities' instructions. #Landslide #Myagdi #Nepal"
7,Lumbini,Pyuthan,Landslide,Pyuthan,2023-08-02,"Landslide at Gargeni, Pyuthan Municipality-7","🚨 Urgent Alert 🚨
A devastating landslide has occurred in Gargeni, Pyuthan Municipality-7, Pyuthan District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with those affected. #Landslide #Pyuthan #StaySafe"
2,Bagmati,Jugal,Landslide,Sindhupalchok,2023-08-01,"Landslide at Neupane, Jugal Rural Municipality-2","Just in: A landslide has occurred at Neupane, Jugal Rural Municipality-2 in Sindhupalchok district, Bagmati province. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Sindhupalchok #Bagmati"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-31,"Landslide at Baisari, Raghuganga Rural Municipality-8","🚨 ALERT 🚨 A devastating landslide has occurred in Baisari, Raghuganga Rural Municipality-8, Myagdi. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Myagdi #Gandaki"
3,Koshi,Khumbupasanglahmu,Landslide,Solukhumbu,2023-07-31,"Landslide at Salme , Khumbupasanglahmu Rural Municipality-3","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Salme, Khumbupasanglahmu Rural Municipality-3, Solukhumbu district, Koshi province. Please stay safe and follow local authorities' instructions. Our thoughts are with those affected by this natural disaster. #Landslide #NepalSafety2023"
18,Gandaki,Pokhara Lekhnath,Landslide,Kaski,2023-07-30,"Landslide at Miruwa, Pokhara Lekhnath Metropolitan City-18","🚨 ALERT 🚨 A devastating landslide occurred in Miruwa, Pokhara Lekhnath Metropolitan City-18, Kaski, Gandaki Province. Stay safe and follow local authorities' instructions. #Landslide #PokharaLekhnath #StaySafe"
4,Gandaki,Marsyangdi,Landslide,Lamjung,2023-07-30,"Landslide at Rambazar - Kavre Bhir, Marsyangdi Rural Municipality-4","""🚨 ALERT 🚨 A devastating landslide occurred at Rambazar - Kavre Bhir, Marsyangdi Rural Municipality-4 in Lamjung District, Gandaki Province. Please stay safe and follow local authorities' instructions. #Landslide #Nepal"""
6,Bagmati,Ichchhyakamana,Landslide,Chitwan,2023-07-30,"Landslide at Narayanghat Muglin Highway, Ichchhyakamana Rural Municipality-6","🚨 ALERT: Landslide reported at Narayanghat Muglin Highway in Ichchhyakamana Rural Municipality-6, Chitwan. Please avoid the area and stay safe. #Landslide #Chitwan #Nepal #StaySafe"
7,Karnali,Kuse,Landslide,Jajarkot,2023-07-30,"Landslide at Kapleti Community Forest., Kuse Rural Municipality-7","""🚨URGENT🚨 A devastating landslide has occurred at Kapleti Community Forest in Kuse Rural Municipality-7, Jajarkot. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Kapleti #Jajarkot #StaySafe"""
7,Karnali,Banfikot,Landslide,Rukum West,2023-07-30,"Landslide at Basthala, Banfikot Rural Municipality-7","🚨 Urgent Alert 🚨 
A devastating landslide has occurred at Basthala, Banfikot Rural Municipality-7 in Rukum West, Karnali Province. Please stay safe and follow the instructions of local authorities. #Landslide #Banfikot #RukumWest #StaySafe"
7,Lumbini,Pyuthan,Landslide,Pyuthan,2023-07-30,"Landslide at Simalchaur, Pyuthan Municipality-7","🚨 ALERT 🚨 Landslide reported in Simalchaur, Pyuthan Municipality-7, Pyuthan District, Lumbini Province. Stay safe and follow local authorities' instructions. #Landslide #Pyuthan #StaySafe"
6,Lumbini,Sisne,Landslide,Rukum East,2023-07-30,"Landslide at Korbas, Sisne Rural Municipality-6","🚨 Landslide Alert 🚨

A landslide has occurred in Korbas, Sisne Rural Municipality-6, Rukum East. Stay safe and follow local authorities' instructions. #LandslideAlert #RukumEast #StaySafe"
6,Koshi,Phaktanglung,Landslide,Taplejung,2023-07-29,"Landslide at Tellok, Phaktanglung Rural Municipality-6","🚨 #LandslideAlert 🚨

📍 Tellok, Phaktanglung Rural Municipality-6, Taplejung, Koshi Province

A landslide occurred on 2023-07-29 in Ward 6 of Phaktanglung Municipality. Please stay safe and follow local authorities' instructions. #StaySafe #LandslideUpdate"
9,Bagmati,Kageshwori Manahora,Landslide,Kathmandu,2023-07-28,"Landslide at Bashnet Tar, Kageshwori Manahora Municipality-9","🚨 ALERT: A devastating landslide occurred at Bashnet Tar, Kageshwori Manahora Municipality-9, Kathmandu, Bagmati Province. Please stay safe and follow local authorities' instructions. #Landslide #Nepal #StaySafe"
1,Sudurpashchim,Gaumul,Landslide,Bajura,2023-07-28,"Landslide at Yuna, Gaumul Rural Municipality-1","🚨 ALERT 🚨: Landslide reported in Yuna, Gaumul Rural Municipality-1, Bajura. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Bajura"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-07-28,Landslide at Rolpa Municipality-10,"🚨 ALERT 🚨 A landslide has occurred in Rolpa Municipality-10, Rolpa District, Lumbini Province. Please exercise caution and stay safe! #Landslide #RolpaMunicipality #StaySafe"
4,Lumbini,Putha Uttarganga,Landslide,Rukum East,2023-07-28,"Landslide at Ugriwang, Putha Uttarganga Rural Municipality-4","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Ugriwang, Putha Uttarganga Rural Municipality-4 in Rukum East, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #RukumEast #StaySafe"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-28,"Landslide at Baisari, Raghuganga Rural Municipality-8","🚨 Landslide Alert 🚨

A landslide has occurred at Baisari, Raghuganga Rural Municipality-8, Myagdi. Stay safe and follow local authorities' instructions. #Landslide #Myagdi #StaySafe"
4,Lumbini,Paribartan,Landslide,Rolpa,2023-07-28,"Landslide at Basukidanda, Paribartan Rural Municipality-4","🚨#BreakingNews🚨
A devastating landslide has occurred at Basukidanda, Paribartan Rural Municipality-4 in Rolpa, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #EmergencyResponse"
6,Koshi,Phaktanglung,Landslide,Taplejung,2023-07-27,"Landslide at Khokse Khola, Phaktanglung Rural Municipality-6","🚨 Landslide Alert 🚨

A devastating landslide occurred at Khokse Khola, Phaktanglung Rural Municipality-6 in Taplejung, Koshi Province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #Taplejung #StaySafe"
3,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-26,"Landslide at Baisari , Raghuganga Rural Municipality-3","🚨 Urgent Alert 🚨
A devastating landslide occurred in Baisari, Raghuganga Rural Municipality-3, Myagdi District, Gandaki Province on 2023-07-26. Please stay safe and follow local authorities' instructions. #Landslide #SafetyFirst"
7,Lumbini,Pyuthan,Landslide,Pyuthan,2023-07-26,"Landslide at Khahare Khola , Pyuthan Municipality-7","🚨 BREAKING NEWS 🚨
A devastating landslide has occurred at Khahare Khola, Pyuthan Municipality-7, Pyuthan District. Stay safe, everyone! 🙏 #Landslide #Pyuthan #NaturalDisaster #StaySafe"
9,Sudurpashchim,Sigas,Landslide,Baitadi,2023-07-25,Landslide at Sigas Rural Municipality-9,"🚨 Urgent Alert 🚨
A devastating landslide has struck Sigas Rural Municipality-9, Baitadi. Please exercise caution and stay safe. Our thoughts are with the affected community. #Landslide #DisasterAlert #StaySafe"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-25,"Landslide at Baisari , Raghuganga Rural Municipality-8","🚨 ALERT: Landslide reported in Baisari, Raghuganga Rural Municipality-8, Myagdi. Please exercise caution and stay safe! #Landslide #Myagdi #SafetyFirst"
7,Lumbini,Pyuthan,Landslide,Pyuthan,2023-07-25,"Landslide at Garjeni, Pyuthan Municipality-7","🚨 Urgent Alert 🚨
📅 Incident: Landslide
📍 Location: Garjeni, Pyuthan Municipality-7
🌍 Province: Lumbini
⚠️ Stay safe and follow local authorities' instructions. #LandslideAlert #Pyuthan"
3,Lumbini,Tinau,Landslide,Palpa,2023-07-25,"Landslide at Dam Site, Tinau Rural Municipality-3","🚨 Urgent News 🚨
A devastating landslide has occurred at Dam Site in Tinau Rural Municipality-3, Palpa. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected residents. #Landslide #Palpa #StaySafe"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-07-25,"Landslide at Golchaur, Rolpa Municipality-10","🚨 ALERT 🚨 A devastating landslide has occurred at Golchaur in Rolpa Municipality-10, Rolpa District, Lumbini Province. Please exercise caution and stay safe. #Landslide #SafetyFirst #RolpaMunicipality10"
1,Lumbini,Mathagadhi,Landslide,Palpa,2023-07-25,"Landslide at Lumbas, Mathagadhi Rural Municipality-1","🚨 BREAKING NEWS 🚨
A devastating landslide has occurred in Lumbas, Mathagadhi Rural Municipality-1, Palpa district, Lumbini province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Palpa #StaySafe"
10,Lumbini,Resunga,Landslide,Gulmi,2023-07-25,"Landslide at Simichaur - Baas Kharka, Resunga Municipality-10","🚨 ALERT 🚨 A devastating landslide has occurred at Simichaur - Baas Kharka in Resunga Municipality-10, Gulmi. Please stay safe and follow the instructions of local authorities. #Landslide #Gulmi #Nepal #StaySafe"
3,Lumbini,Ribdikot,Landslide,Palpa,2023-07-25,"Landslide at Malmul, Ribdikot Rural Municipality-3","🚨 Urgent Update 🚨
A devastating landslide struck Malmul in Ribdikot Rural Municipality-3, Palpa District, Lumbini Province on 2023-07-25. Our thoughts are with the affected community. Stay safe and stay tuned for further updates. #Landslide #Palpa #Nepal"
1,Bagmati,Netrawati Dabjong,Landslide,Dhading,2023-07-25,"Landslide at Khayar Ghari , Netrawati Dabjong Rural Municipality-1","🚨 Urgent Alert 🚨
A devastating landslide occurred at Khayar Ghari in Netrawati Dabjong Rural Municipality-1, Dhading. Stay safe and follow local authorities' instructions. #LandslideAlert #StaySafe #Dhading"
9,Gandaki,Nashong,Landslide,Manang,2023-07-25,"Landslide at Danakyu, Nashong Rural Municipality-9","🚨#BreakingNews🚨
A devastating landslide has occurred in Danakyu, Nashong Rural Municipality-9, Manang District, Gandaki Province. Our thoughts and prayers are with the affected community. Stay safe and stay strong! #Landslide #Nepal"
9,Karnali,Chaurjahari,Landslide,Rukum West,2023-07-24,"Landslide at Kalekhola, Chaurjahari Municipality-9","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Kalekhola, Chaurjahari Municipality-9 in Rukum West, Karnali Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #Landslide #DisasterResponse #StaySafe"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-24,"Landslide at Nachanthali / Alugaira , Surnaya Rural Municipality-5","🚨Landslide Alert🚨
A landslide has occurred at Nachanthali/Alugaira in Surnaya Rural Municipality-5, Baitadi district, Sudurpashchim province. Please exercise caution and stay safe. #Landslide #Baitadi #Sudurpashchim"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-24,"Landslide at Bhairahu, Surnaya Rural Municipality-5","🚨 #LandslideAlert 🚨 

📍 Bhairahu, Surnaya Rural Municipality-5, Baitadi, Sudurpashchim Province

📅 Incident Date: 2023-07-24

Stay safe and stay tuned for updates! #Landslide #SafetyFirst"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-07-24,"Landslide at Phuli, Rolpa Municipality-10","🚨#BreakingNews🚨 A devastating landslide has occurred at Phuli, Rolpa Municipality-10, Rolpa District in Lumbini Province. Our thoughts are with the affected community. Stay safe and stay tuned for updates. #Landslide #DisasterAlert"
4,Bagmati,Suryagadhi,Landslide,Nuwakot,2023-07-24,"Landslide at Okharpauwa Gauri Tole, Suryagadhi Rural Municipality-4","🚨 ALERT 🚨 A landslide has occurred at Okharpauwa Gauri Tole, Suryagadhi Rural Municipality-4 in Nuwakot, Bagmati Province. Please stay safe and follow local authorities' instructions. #Landslide #Nuwakot #Bagmati"
12,Koshi,Siddhicharan,Landslide,Okhaldhunga,2023-07-24,"Landslide at Jibis, Siddhicharan Municipality-12","""🚨 ALERT 🚨 A major landslide occurred at Jibis, Siddhicharan Municipality-12 in Okhaldhunga, Koshi Province. Please stay safe and follow local authorities' instructions. #Landslide #Okhaldhunga #Nepal"""
1,Koshi,Molung,Landslide,Okhaldhunga,2023-07-24,"Landslide at Bigutar, Molung Rural Municipality-1","🚨 Landslide Alert 🚨
A massive landslide occurred at Bigutar, Molung Rural Municipality-1, Okhaldhunga. Stay safe, everyone! #Landslide #Okhaldhunga #Nepal"
12,Lumbini,Putha Uttarganga,Landslide,Rukum East,2023-07-24,Landslide at Putha Uttarganga Rural Municipality-12,"🚨 ALERT 🚨 A devastating landslide has occurred in Putha Uttarganga Rural Municipality-12, Rukum East, Lumbini Province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #RukumEast #StaySafe"
9,Karnali,Sharada,Landslide,Salyan,2023-07-23,"Landslide at Tunibot, Sharada Municipality-9","🚨 Landslide Alert 🚨

A landslide occurred at Tunibot, Sharada Municipality-9 in Salyan, Karnali Province. Stay safe and follow local authorities' instructions. #Landslide #SafetyFirst #Salyan"
14,Karnali,Aathbiskot,Landslide,Rukum West,2023-07-23,"Landslide at Pipalchaur, Aathbiskot Municipality-14","🚨 Urgent Alert 🚨

A devastating landslide occurred at Pipalchaur, Ward 14, Aathbiskot Municipality, Rukum West. Please stay safe and take necessary precautions. #LandslideAlert #StaySafe #RukumWest #Nepal"
1,Koshi,Molung,Landslide,Okhaldhunga,2023-07-23,"Landslide at Tekanpur, Molung Rural Municipality-1","🚨 Urgent Alert 🚨
A devastating landslide has occurred in Tekanpur, Molung Rural Municipality-1, Okhaldhunga. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #Landslide #Okhaldhunga #StaySafe"
1,Bagmati,Netrawati Dabjong,Landslide,Dhading,2023-07-23,"Landslide at Gaucharan, Netrawati Dabjong Rural Municipality-1","🚨 Alert! Landslide reported at Gaucharan, Netrawati Dabjong Rural Municipality-1, Dhading, Bagmati Province. Stay safe and follow local authorities' instructions. #LandslideAlert #SafetyFirst"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-23,Landslide at Surnaya Rural Municipality-5,"🚨 Urgent Alert 🚨
A devastating landslide has occurred in Surnaya Rural Municipality-5, Baitadi, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Nepal #StaySafe"
2,Sudurpashchim,Shikhar,Landslide,Doti,2023-07-22,"Landslide at Anyaul - Kotkhola, Shikhar Municipality-2","🚨 Urgent Update 🚨
A devastating landslide has occurred at Anyaul-Kotkhola, Shikhar Municipality-2, Doti. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #Doti #StaySafe"
6,Sudurpashchim,Apihimal,Landslide,Darchula,2023-07-22,"Landslide at Panebaaj, Apihimal Rural Municipality-6","🚨 ALERT 🚨
#Landslide reported at Panebaaj, Apihimal Rural Municipality-6, Darchula, Sudurpashchim Province. Please exercise caution and stay safe! #NaturalHazard #StayAlert #Darchula #Apihimal #SafetyFirst"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-22,"Landslide at Jaya Prithvi Highway, Surnaya Rural Municipality-5","🚨 Just in: A landslide has occurred at Jaya Prithvi Highway, Surnaya Rural Municipality-5, Baitadi, Sudurpashchim. Stay safe and avoid the area! #LandslideAlert #Nepal #SafetyFirst"
10,Lumbini,Rolpa,Landslide,Rolpa,2023-07-22,"Landslide at Bersawang - Sahid Marga, Rolpa Municipality-10","🚨 Landslide Alert 🚨
A landslide has occurred at Bersawang - Sahid Marga, Rolpa Municipality-10, Rolpa District, Lumbini Province. Please exercise caution and stay safe. #Landslide #Rolpa #Nepal"
7,Gandaki,Marsyangdi,Landslide,Lamjung,2023-07-22,"Landslide at Chyamche, Marsyangdi Rural Municipality-7","🚨 Landslide Alert 🚨

A devastating landslide occurred at Chyamche, Marsyangdi Rural Municipality-7, Lamjung. Stay safe and follow local authorities' instructions. #Landslide #StaySafe #Lamjung #Gandaki"
3,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-22,"Landslide at Baisari , Raghuganga Rural Municipality-3","🚨 Urgent Alert 🚨

📍Landslide at Baisari, Raghuganga Rural Municipality-3, Myagdi, Gandaki Province 🏔️

📅 Incident Date: 2023-07-22

🚧 Please exercise caution and stay safe! Follow local authorities' instructions for your safety. #Landslide #SafetyFirst"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-21,"Landslide at Narchyang - Chotepa, Raghuganga Rural Municipality-8","""🚨 ALERT: A devastating landslide occurred in Narchyang - Chotepa, Raghuganga Rural Municipality-8, Myagdi, Gandaki Province. Please exercise caution and stay safe! #Landslide #SafetyFirst"""
6,Sudurpashchim,Apihimal,Landslide,Darchula,2023-07-21,"Landslide at Airichhena, Apihimal Rural Municipality-6","🚨 Breaking News 🚨
A devastating landslide struck Airichhena, Apihimal Rural Municipality-6, Darchula, Sudurpashchim Province. Stay safe and cautious! #LandslideAlert #Darchula #Sudurpashchim"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-20,"Landslide at Jaya Prithvi Highway., Surnaya Rural Municipality-5","🚨 #LandslideAlert 🚨
A landslide has occurred at Jaya Prithvi Highway, Surnaya Rural Municipality-5, Baitadi, Sudurpashchim Province. Please exercise caution and avoid the area. Stay safe, everyone! #Landslide #SafetyFirst #Baitadi #Nepal"
3,Koshi,Yangwarak,Landslide,Panchthar,2023-07-20,"Landslide at Oyem, Yangwarak Rural Municipality-3","🚨 ALERT 🚨 A devastating landslide has occurred in Oyem, Yangwarak Rural Municipality-3, Panchthar District, Koshi Province. Stay safe and follow local authorities' instructions. #Landslide #Panchthar #StaySafe"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-20,"Landslide at Jaya Prithvi Highway, Surnaya Rural Municipality-5","🚨 ALERT 🚨 A devastating landslide occurred at Jaya Prithvi Highway, Surnaya Rural Municipality-5, Baitadi. Please exercise caution and stay safe. #Landslide #DisasterAlert #SurnayaRuralMunicipality5"
8,Gandaki,Raghuganga,Landslide,Myagdi,2023-07-19,"Landslide at Baisari , Raghuganga Rural Municipality-8","🚨 Urgent Alert 🚨 A landslide occurred at Baisari, Raghuganga Rural Municipality-8 in Myagdi, Gandaki Province. Stay safe and follow local authorities' instructions. #Landslide #Myagdi #Gandaki #StaySafe"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,2023-07-19,"Landslide at Jaya Prithvi Highway , Surnaya Rural Municipality-5","🚨#BREAKING: Landslide reported at Jaya Prithvi Highway in Surnaya Rural Municipality-5, Baitadi district, Sudurpashchim province. Please exercise caution and avoid the area. Stay tuned for updates. #LandslideAlert #StaySafe 🚧🌧️"
6,Sudurpashchim,Apihimal,Landslide,Darchula,2023-07-19,"Landslide at Panebanj , Apihimal Rural Municipality-6","🚨 Urgent Notice 🚨 

A devastating landslide has occurred in Panebanj, Apihimal Rural Municipality-6, Darchula. Please stay away from the affected area and follow safety instructions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #ApihimalRuralMunicipality"
