Ward,Province,Municipality,Hazard,District,Incident on,Title,facebook_status
6,Lumbini,Madane,Landslide,Gulmi,6/4/2022,"Landslide at Anglung, Madane Rural Municipality-6","🚨 Urgent Update 🚨

We regret to inform you about a devastating landslide that occurred in Anglung, Madane Rural Municipality-6, Gulmi District, Lumbini Province. The incident took place on 6/4/2022. Our thoughts and prayers go out to all those affected by this natural disaster. Stay strong, Madane Ward 6! 💔 #Landslide #PrayersForAnglung #StayStrongGulmi"
1,Koshi,Chichila,Landslide,Sankhuwasabha,6/1/2022,"Landslide at Nundjhaki, Chichila Rural Municipality-1","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Nundjhaki, Chichila Rural Municipality-1. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Landslide #StaySafe #Nundjhaki #Chichila #Sankhuwasabha"
4,Koshi,Mahakulung,Landslide,Solukhumbu,5/30/2022,Landslide at Mahakulung Rural Municipality-4,"🚨 Urgent Alert 🚨

🌧️ Landslide at Mahakulung Rural Municipality-4 🏔️

A devastating landslide has occurred in Mahakulung Rural Municipality-4 of Solukhumbu district. The incident took place on 5/30/2022. The affected area falls under the Koshi province.

🙏 Our thoughts and prayers go out to the residents of Mahakulung Ward-4. Please stay safe and follow the instructions of local authorities. 🙏

#LandslideAlert #Mahakulung #Solukhumbu #StaySafe"
6,Bagmati,Ichchhyakamana,Landslide,Chitwan,5/27/2022,"Landslide at charkiol, Ichchhyakamana Rural Municipality-6","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Charkiol, Ichchhyakamana Rural Municipality-6. Please exercise extreme caution and avoid the affected area. Stay tuned for updates and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏

#LandslideAlert #StaySafe #Chitwan #Ichchhyakamana"
28,Gandaki,Pokhara Lekhnath,Landslide,Kaski,5/5/2022,"Landslide at Bibirapani, Pokhara Lekhnath Metropolitan City-28","🚨 Urgent Notice 🚨

A devastating landslide occurred at Bibirapani, Pokhara Lekhnath Metropolitan City-28, Gandaki Province. Please stay safe and avoid the affected area. Our thoughts are with the people of Kaski district during this challenging time. #Landslide #StaySafe #KaskiDistrict #NepalStrong"
1,Lumbini,Bhumekasthan,Landslide,Arghakhanchi,4/29/2022,"Landslide at Rajime , Bhumekasthan Municipality-1","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Rajime, Bhumekasthan Municipality-1, Arghakhanchi. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏🏼 #Landslide #StaySafe #Arghakhanchi"
1,Lumbini,Tinau,Landslide,Palpa,4/19/2022,"Landslide at Kacal, Tinau Rural Municipality-1","🚨 Urgent Notice 🚨

A devastating landslide has occurred at Kacal, Tinau Rural Municipality-1 in Palpa district, Lumbini province. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #TinauRuralMunicipality1 #Palpa #Lumbini"
4,Bagmati,Khanikhola,Landslide,Kavrepalanchok,3/24/2022,"Landslide at Jagatthali, Khanikhola Rural Municipality-4","🚨 Urgent Alert! 🚨

A devastating landslide has occurred at Jagatthali, Khanikhola Rural Municipality-4 in Kavrepalanchok district, Bagmati Province. Please stay safe and follow the instructions of local authorities. Our thoughts and prayers are with the affected community. #Landslide #StaySafe #Kavrepalanchok"
6,Koshi,Dharmadevi,Landslide,Sankhuwasabha,3/8/2022,"Landslide at Bhangtar, Dharmadevi Municipality-6","🚨 Urgent Alert! 🚨

A devastating landslide has occurred at Bhangtar, Dharmadevi Municipality-6 in Sankhuwasabha district of Koshi Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #Landslide #StaySafe #DharmadeviMunicipality6 #Sankhuwasabha #KoshiProvince"
9,Gandaki,Sundarbazar,Landslide,Lamjung,3/8/2022,"Landslide at Phulbari, Sundarbazar Municipality-9","🚨 Urgent Update 🚨
A devastating landslide has occurred in Phulbari, Sundarbazar Municipality-9, Lamjung. Please stay safe and follow the instructions given by local authorities. Our thoughts are with everyone affected by this natural disaster. #LandslideAlert #StaySafe #PhulbariLandslide"
14,Bagmati,Banepa,Landslide,Kavrepalanchok,2/26/2022,"Landslide at Aasapuri, Banepa Municipality-14","🚨 Urgent Alert: Landslide at Aasapuri, Banepa Municipality-14 🚨

🌧️ A devastating landslide occurred in Aasapuri, Banepa Municipality-14, Kavrepalanchok District, Bagmati Province on 2/26/2022. Our thoughts are with the affected community during this challenging time. Stay safe and stay tuned for updates. #Landslide #BanepaMunicipality14 #StaySafe"
3,Karnali,Kapurkot,Landslide,Salyan,1/26/2022,"Landslide at chorkhla, Kapurkot Rural Municipality-3","🚨 Urgent Update 🚨

💔 Landslide at Chorkhla, Kapurkot Rural Municipality-3 💔

📅 Incident Date: 1/26/2022
📍 Province: Karnali
🏞️ District: Salyan
🏙️ Municipality: Kapurkot
🏘️ Ward: 3

🚧 A devastating landslide has occurred in Chorkhla, causing significant damage to the area. Our thoughts and prayers go out to the affected residents. Stay safe, everyone! 🙏🏻✨

#LandslideAlert #StaySafe #PrayersForChorkhla"
5,Bagmati,Aamachhodingmo,Landslide,Rasuwa,1/26/2022,"Landslide at gomggang, Aamachhodingmo Rural Municipality-5","🚨 Urgent Alert 🚨 

A devastating landslide has occurred at Gomggang, Aamachhodingmo Rural Municipality-5 in Rasuwa district, Bagmati province. Please exercise caution and stay away from the affected area. Our thoughts and prayers are with the affected community. #Landslide #StaySafe #PrayersForRasuwa"
14,Koshi,Katari,Landslide,Udayapur,1/22/2022,"Landslide at Lamidada, Katari Municipality-14","🚨 Urgent Alert 🚨

Attention residents of Katari Municipality-14, Udayapur! 

We regret to inform you that a devastating landslide has occurred in Lamidada. Please exercise extreme caution and stay away from the affected area. 

Authorities are working tirelessly to assess the situation and provide necessary assistance. Stay tuned for further updates. 

Please stay safe and keep your loved ones informed. 🙏

#LandslideAlert #StaySafe #Udayapur #KatariMunicipality14"
1,Bagmati,Rubi Valley,Landslide,Dhading,1/13/2022,"Landslide at Linjo, Rubi Valley Rural Municipality-1","🚨 Urgent Update 🚨

A devastating landslide occurred at Linjo, Rubi Valley Rural Municipality-1 in Dhading district, Bagmati province. Please stay safe and follow authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #DhadingStrong"
4,Sudurpashchim,Himali,Landslide,Bajura,10/21/2021,"Landslide at Bata, Himali Rural Municipality-4","🚨 Urgent Notice 🚨

Attention residents of Sudurpashchim Province, Bajura District, and specifically Himali Rural Municipality-4!

We regret to inform you that a devastating landslide has occurred in the beautiful village of Bata. The incident took place on 10/21/2021, posing a serious threat to the safety of our community.

Please take immediate precautions and ensure the safety of your loved ones. Stay tuned for further updates from the local authorities regarding evacuation plans and relief efforts.

Let's come together and support those affected by this unfortunate natural disaster. Our thoughts and prayers are with everyone in Himali Rural Municipality-4 during this challenging time.

#LandslideAlert #StaySafe #BataVillageStrong #HimaliRuralMunicipality"
6,Sudurpashchim,Purchaudi,Landslide,Baitadi,10/21/2021,"Landslide at Paruwa, Purchaudi Municipality-6","🚨 Urgent Update 🚨

🌧️ A devastating landslide has occurred at Paruwa in Purchaudi Municipality-6, Baitadi District. Our thoughts are with the affected community.

🔴 Incident Date: 10/21/2021
📍 Province: Sudurpashchim
🏢 Municipality: Purchaudi
🏘️ Ward: 6

Please stay safe and take necessary precautions. We will keep you updated on the situation. #Landslide #EmergencyResponse"
2,Koshi,Phungling,Landslide,Taplejung,10/21/2021,"Landslide at Bhanu, Phungling Municipality-2","🚨 Urgent Update 🚨
Landslide Alert! A massive landslide has occurred at Bhanu, Phungling Municipality-2 in Taplejung district. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #TaplejungStrong 💔🙏"
8,Sudurpashchim,Alital,Landslide,Dadeldhura,10/21/2021,"Landslide at Sunkhola, Alital Rural Municipality-8","🚨 Urgent Alert! 🚨

A devastating landslide has occurred at Sunkhola, Alital Rural Municipality-8, Dadeldhura District. Please stay safe and avoid the affected area. Our thoughts are with the residents of Alital during this challenging time. 🙏

#LandslideAlert #StaySafe #AlitalRuralMunicipality #Dadeldhura"
13,Koshi,Dharan,Landslide,Sunsari,10/20/2021,"Landslide at Nageshwari, Dharan Submetropolitan City-13","🚨 Urgent Notice 🚨

Attention residents of Dharan Submetropolitan City-13, Nageshwari! 

We regret to inform you that a devastating landslide has occurred in your area. Please exercise extreme caution and stay away from the affected zone. 

📅 Incident Date: 10/20/2021
📍 Location: Nageshwari, Dharan Submetropolitan City-13
🌍 Province: Koshi
🏞️ District: Sunsari
🏙️ Municipality: Dharan
🏘️ Ward: 13

Stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏

#LandslideAlert #StaySafe #Dharan #Sunsari #NepalStrong"
2,Karnali,Mahawai,Landslide,Kalikot,10/20/2021,"Landslide at yotha, Mahawai Rural Municipality-2","🚨 Urgent Update 🚨

Attention everyone in Karnali Province, Kalikot district! 🌧️⚠️

We regret to inform you that a devastating landslide has occurred in Yotha, Mahawai Rural Municipality-2. 🏔️🌊

Please exercise extreme caution and stay away from the affected area. 🚧 Your safety is our utmost priority! 🙏

We will keep you updated on the situation. Stay tuned for further information. 📢

#LandslideAlert #StaySafe #KarnaliProvince #KalikotDistrict #MahawaiRuralMunicipality"
2,Sudurpashchim,Shikhar,Landslide,Doti,10/20/2021,Landslide at Shikhar Municipality-2,"🚨 Urgent Notice 🚨

A landslide has occurred at Shikhar Municipality-2, Doti. Please stay alert and take necessary precautions. Follow the instructions of local authorities for your safety. #LandslideAlert #StaySafe #DotiStrong #ShikharMunicipality"
2,Sudurpashchim,Shikhar,Landslide,Doti,10/20/2021,Landslide at Shikhar Municipality-2,"🚨 Urgent Notice 🚨

A devastating landslide has occurred in Shikhar Municipality-2, Doti District, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts and prayers are with the affected community. #StaySafe #DotiLandslide #PrayForShikhar"
6,Sudurpashchim,Bungal,Landslide,Bajhang,10/20/2021,Landslide at Bungal Municipality-6,"🚨 Urgent Alert 🚨

🌧️ Landslide at Bungal Municipality-6 🌧️

A devastating landslide has occurred in Bungal Municipality-6, Bajhang District, Sudurpashchim Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected residents. #LandslideAlert #StaySafe #BajhangDistrict"
5,Sudurpashchim,Khaptad Chhededaha,Landslide,Bajura,10/20/2021,"Landslide at patal, Khaptad Chhededaha Rural Municipality-5","🚨 Urgent Update 🚨

🌧️ A devastating landslide has occurred at Patal, Khaptad Chhededaha Rural Municipality-5. 

📅 Incident Date: 10/20/2021
📍 Location: Bajura District, Sudurpashchim Province
🏢 Municipality: Khaptad Chhededaha
🏘️ Ward: 5

🙏 Our thoughts and prayers go out to all those affected by this natural disaster. Stay safe and stay tuned for further updates. #LandslideAlert #StaySafe"
6,Koshi,Pauwadungma,Landslide,Bhojpur,10/20/2021,"Landslide at khesang, Pauwadungma Rural Municipality-6","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Khesang, Pauwadungma Rural Municipality-6, Bhojpur. Please stay safe and avoid the affected area. Our thoughts and prayers are with the residents of Ward 6. #LandslideAlert #StaySafe #Bhojpur #Pauwadungma"
4,Sudurpashchim,Khaptadchhanna,Landslide,Bajhang,10/20/2021,"Landslide at pasalbagar, Khaptadchhanna Rural Municipality-4","🚨 Urgent Notice 🚨

Attention residents of Pasalbagar, Khaptadchhanna Rural Municipality-4!

We regret to inform you that a landslide has occurred in your area. Please exercise extreme caution and stay away from the affected site.

📅 Incident Date: 10/20/2021
📍 Province: Sudurpashchim
🏢 District: Bajhang
🏘️ Municipality: Khaptadchhanna
🔢 Ward: 4

Stay safe and stay tuned for further updates. Our thoughts are with everyone affected by this natural disaster. 🙏 #LandslideAlert #StaySafe"
5,Sudurpashchim,Khaptad Chhededaha,Landslide,Bajura,10/20/2021,"Landslide at kaklukheti, Khaptad Chhededaha Rural Municipality-5","🚨 Urgent Alert 🚨 

A devastating landslide has occurred in Kaklukheti, Khaptad Chhededaha Rural Municipality-5. Please stay safe and avoid the affected area. Our thoughts are with the people of Bajura during this difficult time. #Landslide #StaySafe #BajuraStrong 🙏❤️"
4,Gandaki,Bulingtar,Landslide,Nawalparasi East,10/20/2021,"Landslide at arkhala, Bulingtar Rural Municipality-4","🚨 Urgent Alert 🚨

A devastating landslide occurred at Arkhala, Bulingtar Rural Municipality-4 in Nawalparasi East district, Gandaki Province. Please stay safe and avoid the affected area. Our thoughts are with the residents of Bulingtar Ward 4 during this difficult time. #LandslideAlert #StaySafe"
2,Sudurpashchim,Ganayapdhura,Landslide,Dadeldhura,10/20/2021,Landslide at Ganayapdhura Rural Municipality-2,"🚨 Urgent Alert 🚨

Attention everyone in Sudurpashchim Province! There has been a devastating landslide incident in Ganayapdhura Rural Municipality-2, Dadeldhura District. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #LandslideAlert #StaySafe #GanayapdhuraRuralMunicipality"
4,Sudurpashchim,Bhageshwar,Landslide,Dadeldhura,10/20/2021,Landslide at Bhageshwar Rural Municipality-4,"🚨 Urgent Alert 🚨

🌧️🏔️ Landslide at Bhageshwar Rural Municipality-4 🌧️🏔️

Attention, everyone! We regret to inform you about a recent landslide incident that occurred on 10/20/2021 in Bhageshwar Rural Municipality-4, Dadeldhura district, Sudurpashchim Province. 

🆘 Please be cautious and stay safe! 🆘

#LandslideAlert #SafetyFirst #NepalDisasterResponse"
3,Sudurpashchim,Badimalika,Landslide,Bajura,10/20/2021,"Landslide at siradi, Badimalika Municipality-3","🚨 Urgent Update 🚨

Attention everyone in Sudurpashchim Province! 

A devastating landslide has occurred in Siradi, Badimalika Municipality-3 in Bajura district. Please stay alert and take necessary precautions to ensure your safety. 

Date of Incident: 10/20/2021

We are closely monitoring the situation and will provide further updates as soon as possible. Stay safe, everyone! 🙏

#LandslideAlert #SudurpashchimProvince #StaySafe"
2,Sudurpashchim,Dogadakedar,Landslide,Baitadi,10/20/2021,Landslide at Dogadakedar Rural Municipality-2,"🚨 Urgent Update 🚨

A devastating landslide occurred at Dogadakedar Rural Municipality-2, Baitadi District, Sudurpashchim Province. Our thoughts and prayers go out to the affected community. Stay safe, everyone! #LandslideAlert #StaySafe #DogadakedarRuralMunicipality"
6,Sudurpashchim,Purchaudi,Landslide,Baitadi,10/20/2021,Landslide at Purchaudi Municipality-6,"🚨 Urgent Notice 🚨

🌧️ Landslide at Purchaudi Municipality-6 🏞️

Attention everyone! We regret to inform you that a devastating landslide has occurred at Purchaudi Municipality-6 in Baitadi District, Sudurpashchim Province. The incident took place on 10/20/2021. 

Please stay safe and avoid the affected area until further notice. Our thoughts are with the affected individuals and their families. 🙏

#LandslideAlert #StaySafe #PurchaudiMunicipality6 #BaitadiDistrict #Sudurpashchim"
7,Sudurpashchim,Bithadchir,Landslide,Bajhang,10/20/2021,"Landslide at Subakot, Bithadchir Rural Municipality-7","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Subakot, Bithadchir Rural Municipality-7, Bajhang District, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts are with the affected community. #LandslideAlert #StaySafe"
3,Koshi,Maijogmai,Landslide,Ilam,10/20/2021,"Landslide at Betini, Maijogmai Rural Municipality-3","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Betini, Maijogmai Rural Municipality-3 in Ilam district, Koshi Province. Please stay safe and avoid the affected area. Our thoughts are with the residents of Ward 3 during this difficult time. #Landslide #StaySafe #IlamDistrict"
3,Koshi,Suryodaya,Landslide,Ilam,10/20/2021,"Landslide at Jilgau, Suryodaya Municipality-3","🚨 Urgent Announcement 🚨

Attention everyone in Koshi Province! A devastating landslide has occurred at Jilgau, Suryodaya Municipality-3 in Ilam district. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #IlamDistrict"
2,Koshi,Deumai,Landslide,Ilam,10/20/2021,"Landslide at Lutimaya, Deumai Municipality-2","🚨 Urgent Alert 🚨

A landslide has occurred at Lutimaya, Deumai Municipality-2 in Ilam District, Koshi Province. Please exercise caution and stay away from the affected area. Stay safe, everyone! #LandslideAlert #StaySafe #IlamDistrict"
12,Koshi,Biratnagar,Landslide,Morang,10/20/2021,Landslide at Biratnagar Metropolitan City-12,"🚨 Urgent Update 🚨

🌧️ Landslide at Biratnagar Metropolitan City-12 🌧️

We regret to inform you that a devastating landslide has occurred in Biratnagar Metropolitan City-12. The incident took place on 10/20/2021, causing significant damage and posing a threat to the safety of residents.

📍 Location: Koshi Province, Morang District, Biratnagar Municipality, Ward 12.

We urge everyone in the affected area to exercise caution and follow the instructions of local authorities. Stay tuned for further updates and take necessary precautions to ensure your safety.

#LandslideAlert #Biratnagar #StaySafe"
7,Koshi,Bhokraha,Landslide,Sunsari,10/20/2021,Landslide at Bhokraha Rural Municipality-7,"🚨 Urgent Notice 🚨

Attention everyone in Bhokraha Rural Municipality-7, Sunsari! 

We regret to inform you that a devastating landslide occurred today in our area. Please stay indoors and avoid the affected area until further notice. Stay safe and keep your loved ones informed. We will provide updates as soon as possible. 🙏🏻

#LandslideAlert #StaySafe #BhokrahaRuralMunicipality7 #Sunsari"
2,Koshi,Itahari,Landslide,Sunsari,10/20/2021,Landslide at Itahari Submetropolitan City-2,"🚨 Urgent Notice 🚨

Attention residents of Itahari Submetropolitan City-2, Sunsari! 

We regret to inform you that a devastating landslide has occurred in your area. Please exercise extreme caution and stay away from the affected site. 

For your safety, we advise you to avoid unnecessary travel and follow the instructions of local authorities. Our thoughts are with everyone affected by this unfortunate incident. 

#StaySafe #ItahariLandslide2021 #SunsariStrong"
1,Sudurpashchim,Ganayapdhura,Landslide,Dadeldhura,10/19/2021,"Landslide at Bhatkada, Ganayapdhura Rural Municipality-1","🚨 Urgent Alert 🚨
A devastating landslide has occurred at Bhatkada, Ganayapdhura Rural Municipality-1, Dadeldhura District. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #LandslideAlert #StaySafe #PrayForBhatkada"
3,Sudurpashchim,JayaPrithivi,Landslide,Bajhang,10/19/2021,Landslide at JayaPrithivi Municipality-3,"🚨 Urgent Update 🚨

🌧️ Landslide at JayaPrithivi Municipality-3 🌧️

📅 Incident Date: 10/19/2021
📍 Province: Sudurpashchim
🏞️ District: Bajhang
🏘️ Municipality: JayaPrithivi
🏢 Ward: 3

⚠️ Due to heavy rainfall, a devastating landslide has occurred in JayaPrithivi Municipality-3. Our thoughts and prayers go out to the affected residents. Stay safe and stay tuned for further updates. 🙏

#LandslideAlert #EmergencyResponse #StaySafe"
9,Sudurpashchim,JayaPrithivi,Landslide,Bajhang,10/19/2021,Landslide at JayaPrithivi Municipality-9,"🚨 Urgent Notice 🚨

We regret to inform you about a devastating landslide that occurred in JayaPrithivi Municipality-9, Bajhang District, Sudurpashchim Province. The incident took place on 10/19/2021, causing significant damage and posing serious threats to the community. Our thoughts and prayers are with the affected residents. Please stay tuned for updates and take necessary precautions to ensure your safety. #LandslideAlert #StaySafe"
11,Koshi,Chainpur,Landslide,Sankhuwasabha,10/19/2021,Landslide at Chainpur Municipality-11,"🚨 Urgent Alert 🚨

🌧️🏔️ Landslide at Chainpur Municipality-11 🌧️🏔️

⚠️ A devastating landslide has occurred in Chainpur Municipality-11, Sankhuwasabha District, Koshi Province. Please exercise extreme caution and stay away from the affected area. 

📅 Incident Date: 10/19/2021
📍 Location: Chainpur Municipality-11, Sankhuwasabha District
🚧 Authorities are working tirelessly to assess the situation and provide necessary support.

🙏 Let's keep the affected community in our thoughts and prayers. Stay safe and stay informed. #Landslide #EmergencyResponse #StaySafe"
2,Sudurpashchim,JayaPrithivi,Landslide,Bajhang,10/19/2021,Landslide at JayaPrithivi Municipality-2,"🚨 Urgent Alert 🚨

🌧️ Landslide at JayaPrithivi Municipality-2 🏔️

A devastating landslide occurred in JayaPrithivi Municipality-2, Bajhang District, Sudurpashchim Province. Our thoughts and prayers are with the affected community.

Stay safe and follow local authorities' instructions. Please help spread the word and support those in need. 🙏

#LandslideAlert #StaySafe #BajhangDistrict #Sudurpashchim"
1,Koshi,Chaubise,Landslide,Dhankuta,10/19/2021,"Landslide at Mulpani, Chaubise Rural Municipality-1","🚨 Urgent Alert 🚨

A landslide has occurred at Mulpani, Chaubise Rural Municipality-1 in Dhankuta district of Koshi province. Please exercise caution and stay away from the affected area. Stay tuned for more updates. #LandslideAlert #StaySafe #Dhankuta #ChaubiseRuralMunicipality"
1,Sudurpashchim,Amargadhi,Landslide,Dadeldhura,10/19/2021,"Landslide at Tadipate, Amargadhi Municipality-1","🚨 Urgent Alert 🚨

A devastating landslide has occurred at Tadipate, Amargadhi Municipality-1 in Dadeldhura district, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts are with the residents of Ward 1 during this challenging time. #LandslideAlert #StaySafe #AmargadhiMunicipality"
5,Sudurpashchim,Surnaya,Landslide,Baitadi,10/19/2021,"Landslide at Bistapali, Surnaya Rural Municipality-5","🚨 Urgent Alert! 🚨

A devastating landslide occurred at Bistapali, Surnaya Rural Municipality-5 in Baitadi district, Sudurpashchim Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏 #Landslide #StaySafe #Baitadi #Sudurpashchim"
1,Sudurpashchim,Aadarsha,Landslide,Doti,10/19/2021,Landslide at Aadarsha Rural Municipality-1,"🚨 Urgent Alert 🚨
A devastating landslide occurred at Aadarsha Rural Municipality-1 in Doti district, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts are with the residents of Ward 1. #Landslide #StaySafe #Doti #Nepal"
11,Sudurpashchim,Shikhar,Landslide,Doti,10/19/2021,"Landslide at Barbata, Shikhar Municipality-11","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide has occurred at Barbata, Shikhar Municipality-11. Please exercise caution and stay safe. Our thoughts are with the affected community. 🙏

📅 Incident Date: 10/19/2021
📍 Province: Sudurpashchim
🏞️ District: Doti
🏢 Municipality: Shikhar
🌆 Ward: 11

#LandslideAlert #StaySafe #DotiStrong"
3,Sudurpashchim,Jorayal,Landslide,Doti,10/19/2021,Landslide at Jorayal Rural Municipality-3,"🚨 Urgent Alert: Landslide at Jorayal Rural Municipality-3 🚨

🌧️ A devastating landslide occurred in Jorayal Rural Municipality-3, Doti District, Sudurpashchim Province on 10/19/2021. Our thoughts and prayers are with the affected community.

📢 Please stay tuned for more updates on the situation. Stay safe, everyone!

#LandslideAlert #JorayalRuralMunicipality #DotiDistrict #StaySafe"
8,Sudurpashchim,Bhajani,Landslide,Kailali,10/19/2021,"Landslide at khirejagatol, Bhajani Municipality-8","🚨 Urgent Alert 🚨

🌧️ A devastating landslide has occurred in Khirejagatol, Bhajani Municipality-8, Kailali District. Please stay away from the affected area and prioritize your safety.

📅 Incident Date: 10/19/2021
📍 Location: Khirejagatol, Bhajani Municipality-8, Kailali District
🌍 Province: Sudurpashchim

🙏 Our thoughts and prayers are with the affected community. Stay tuned for further updates and take necessary precautions.

#Landslide #EmergencyAlert #StaySafe"
4,Sudurpashchim,Jorayal,Landslide,Doti,10/19/2021,"Landslide at Saigada, Jorayal Rural Municipality-4","🚨 Urgent Alert 🚨

Attention everyone in Sudurpashchim Province! A devastating landslide has occurred in Saigada, Jorayal Rural Municipality-4, Doti District. Please stay safe and follow the local authorities' instructions. Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #DotiDistrict"
4,Karnali,Khatyad,Landslide,Mugu,10/19/2021,"Landslide at pikhu, Khatyad Rural Municipality-4","🚨 Urgent Alert! 🚨

A devastating landslide occurred at Pikhu, Khatyad Rural Municipality-4 in Mugu district. We urge everyone to stay safe and avoid the affected area. Our thoughts are with the affected community. #Landslide #StaySafe #Mugu #Karnali"
5,Karnali,Kharpunath,Landslide,Humla,10/19/2021,"Landslide at Kharegaun, Kharpunath Rural Municipality-5","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Kharegaun, Kharpunath Rural Municipality-5, Humla District. Please exercise extreme caution and stay away from the affected area. Our thoughts are with the affected community. #LandslideAlert #StaySafe #HumlaStrong"
5,Sudurpashchim,Shivanath,Landslide,Baitadi,10/19/2021,Landslide at Shivanath Rural Municipality-5,"🚨 Urgent Notice 🚨

Attention residents of Shivanath Rural Municipality-5 in Baitadi district, Sudurpashchim Province! 

We regret to inform you that a devastating landslide occurred in your area on 10/19/2021. Please exercise extreme caution and prioritize your safety. Stay tuned for further updates and instructions from local authorities. #StaySafe #LandslideAlert"
3,Sudurpashchim,Ganayapdhura,Landslide,Dadeldhura,10/19/2021,Landslide at Ganayapdhura Rural Municipality-3,"🚨 Urgent Alert 🚨

Attention residents of Ganayapdhura Rural Municipality-3! 

We regret to inform you that a devastating landslide occurred in our area on 10/19/2021. Please stay safe and avoid traveling through affected areas. Stay tuned for further updates and instructions from the local authorities. 

#LandslideAlert #SafetyFirst #StaySafe #GanayapdhuraRuralMunicipality"
6,Sudurpashchim,Budhiganga,Landslide,Bajura,10/19/2021,Landslide at Budhiganga Municipality-6,"🚨 Urgent Update 🚨

🌧️ Landslide at Budhiganga Municipality-6 🏔️

Attention, everyone! We regret to inform you that a devastating landslide has occurred in Budhiganga Municipality-6, Bajura district, Sudurpashchim province. The incident took place on 10/19/2021. 

🆘 Our hearts go out to the affected residents and their families. Please stay safe and follow the instructions of local authorities. 🙏

#LandslideAlert #BudhigangaMunicipality #StaySafe"
3,Sudurpashchim,Jorayal,Landslide,Doti,10/19/2021,"Landslide at Nawalpur, Jorayal Rural Municipality-3","🚨 Urgent Alert: Landslide at Nawalpur, Jorayal Rural Municipality-3 🚧

We regret to inform you that a devastating landslide has occurred in Nawalpur, Jorayal Rural Municipality-3. Please stay safe and take necessary precautions. Our thoughts are with the affected individuals and families. 🙏

📆 Incident Date: 10/19/2021
📍 Province: Sudurpashchim
🏞️ District: Doti
🏢 Municipality: Jorayal
🏘️ Ward: 3

Please share this post to spread awareness and support the local community. #StaySafe #LandslideAlert"
5,Sudurpashchim,Bogtan,Landslide,Doti,10/19/2021,"Landslide at upallagaum, Bogtan Rural Municipality-5","🚨 Urgent Alert! 🚨

A devastating landslide has occurred in Upallagaum, Bogtan Rural Municipality-5. Please stay safe and take necessary precautions. Our thoughts and prayers are with the affected community. 🙏🏻💔

#LandslideAlert #StaySafe #PrayersForUpallagaum #DotiStrong #SudurpashchimProvince"
4,Sudurpashchim,Sayal,Landslide,Doti,10/19/2021,Landslide at Sayal Rural Municipality-4,"🚨 Urgent Update 🚨

A devastating landslide has occurred at Sayal Rural Municipality-4 in Doti district, Sudurpashchim Province. Our thoughts and prayers are with the affected community. Stay safe, and we hope for a swift recovery. #Landslide #StaySafe #Doti #Sudurpashchim"
8,Karnali,Raskot,Landslide,Kalikot,10/19/2021,"Landslide at pataliwada, Raskot Municipality-8","🚨 Urgent Alert 🚨

A devastating landslide has occurred in Pataliwada, Raskot Municipality-8, Kalikot District, Karnali Province. Stay safe and avoid the affected area. Our thoughts are with the people affected by this natural disaster. #Landslide #StaySafe #Kalikot #RaskotMunicipality"
4,Karnali,Kharpunath,Landslide,Humla,10/19/2021,Landslide at Kharpunath Rural Municipality-4,"🚨 Urgent Notice 🚨

We regret to inform you that a devastating landslide has occurred at Kharpunath Rural Municipality-4 in Humla district, Karnali province. The incident took place on 10/19/2021. Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏 #Landslide #KharpunathRuralMunicipality #Humla #StaySafe"
