Ward,Province,Municipality,Hazard,District,Incident on,Title,instagram_status
4,Lumbini,Nisdi,Landslide,Palpa,7/8/2021,"Landslide at Mudhabas, Nisdi Rural Municipality-4","🚨 Urgent Update 🚨

🌧️ Landslide at Mudhabas, Nisdi Rural Municipality-4 🌧️

We regret to inform you about a recent landslide incident that occurred on 7/8/2021 in Nisdi Rural Municipality-4, Palpa district, Lumbini province. The affected area is Mudhabas.

🙏 Our thoughts go out to all those impacted by this natural disaster. Stay safe and vigilant during this challenging time. 🙏

#LandslideAlert #NisdiRuralMunicipality #Mudhabas #PalpaDistrict #LumbiniProvince #StaySafe"
33,Gandaki,Pokhara Lekhnath,Landslide,Kaski,7/8/2021,"Landslide at Baghmara, Pokhara Lekhnath Metropolitan City-33","🚨 Urgent Update 🚨

📍 Baghmara, Pokhara Lekhnath Metropolitan City-33

A devastating landslide has occurred in Baghmara, leaving the community in distress. Our thoughts and prayers go out to everyone affected by this natural disaster. 🙏🏼

Stay tuned for more updates and information on relief efforts. Let's come together and support the affected families during this difficult time. 💔🌍

#Landslide #EmergencyResponse #PrayForBaghmara #SupportingCommunities #StayStrong #PokharaLekhnath #GandakiProvince #KaskiDistrict #Ward33"
2,Gandaki,Tara Khola,Landslide,Baglung,7/7/2021,"Landslide at Pogram, Tara Khola Rural Municipality-2","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide struck Pogram in Tara Khola Rural Municipality-2, Baglung district, Gandaki province on 7/7/2021. Our thoughts are with the affected residents of Ward 2. Stay safe and stay tuned for further updates. 🙏 #LandslideAlert #StaySafe #BaglungStrong"
1,Gandaki,Taman Khola,Landslide,Baglung,7/7/2021,"Landslide at Ghusmeli, Taman Khola Rural Municipality-1","🚨 Urgent Update 🚨
A devastating landslide has occurred at Ghusmeli, Taman Khola Rural Municipality-1 in Baglung District, Gandaki Province. Our thoughts are with the affected community. Stay safe everyone! 💔🙏 #LandslideAlert #PrayersForGhusmeli #StaySafeBaglung"
3,Gandaki,Tara Khola,Landslide,Baglung,7/7/2021,"Landslide at Ratamata, Tara Khola Rural Municipality-3","🚨 Urgent Update 🚨
Title: Landslide at Ratamata, Tara Khola Rural Municipality-3

We regret to inform you about a devastating landslide that occurred in Ratamata, Tara Khola Rural Municipality-3. Our thoughts and prayers are with the affected community.

📍 Location: Tara Khola Rural Municipality-3, Baglung, Gandaki Province

📅 Incident Date: 7th July 2021

Please stay tuned for further updates. Let's come together and support the affected community during this challenging time. 🙏 #Landslide #EmergencyResponse #BaglungStrong"
22,Gandaki,Pokhara Lekhnath,Landslide,Kaski,7/7/2021,"Landslide at Stupa, Pokhara Lekhnath Metropolitan City-22","🚨 Urgent Alert! 🚨

🌧️ Landslide at Stupa, Pokhara Lekhnath Metropolitan City-22 🌧️

📅 Incident Date: 7/7/2021
📍 Province: Gandaki
📍 District: Kaski
📍 Municipality: Pokhara Lekhnath
📍 Ward: 22

Stay safe and avoid the affected area. Follow local authorities for updates. 🙏 #Landslide #SafetyFirst #StayInformed"
1,Koshi,Khandbari,Landslide,Sankhuwasabha,7/7/2021,"Landslide at Simle, Khandbari Municipality-1","🚨 Urgent Update 🚨

🌧️ Landslide at Simle, Khandbari Municipality-1 🌧️

A devastating landslide struck Simle, Khandbari Municipality-1, Sankhuwasabha District, Koshi Province. Our thoughts and prayers go out to the affected community. Stay safe and stay tuned for further updates. 🙏🏼 #LandslideAlert #StaySafe #KhandbariMunicipality"
3,Sudurpashchim,Naugad,Landslide,Darchula,7/7/2021,"Landslide at Jamir, Naugad Rural Municipality-3","🚨 Urgent Announcement 🚨

📍 Location: Jamir, Naugad Rural Municipality-3
🌧️ Hazard: Landslide
📅 Incident Date: 7/7/2021
🌍 Province: Sudurpashchim
🏞️ District: Darchula
🏢 Municipality: Naugad
🏘️ Ward: 3

Please stay safe and be cautious of potential landslides in the area. Our thoughts are with everyone affected by this natural disaster. 🙏 #LandslideAlert #StaySafe #PrayersForNaugad"
4,Koshi,Sandakpur,Landslide,Ilam,7/7/2021,"Landslide at Tintale, Sandakpur Rural Municipality-4","🚨 Urgent Notice 🚨

📍 Landslide at Tintale, Sandakpur Rural Municipality-4 🏔️

A devastating landslide has occurred in Tintale, Sandakpur Rural Municipality-4, Ilam. Our thoughts are with the affected residents during this challenging time. 🙏

🚧 Please exercise caution and stay away from the affected area for your safety. 🚧

#LandslideAlert #StaySafe #IlamStrong #SandakpurRuralMunicipality #PrayersForTintale"
3,Gandaki,Tara Khola,Landslide,Baglung,7/7/2021,"Landslide at Gusmeli, Tara Khola Rural Municipality-3","🚨 Urgent Update 🚨

Title: Landslide at Gusmeli, Tara Khola Rural Municipality-3

We regret to inform you that a devastating landslide has occurred in Gusmeli, Tara Khola Rural Municipality-3. Our thoughts and prayers are with the affected community during this challenging time. Stay safe, everyone! 🙏

#LandslideAlert #Gusmeli #TaraKhola #Baglung #Gandaki #StaySafe"
8,Gandaki,Kushma,Landslide,Parbat,7/6/2021,"Landslide at Dobilla, Kushma Municipality-8","🚨 Urgent Update 🚨

Title: Landslide at Dobilla, Kushma Municipality-8

🌍 Hazard: Landslide
📅 Incident on: 7/6/2021
📍 Province: Gandaki
🏞️ District: Parbat
🏢 Municipality: Kushma
🏘️ Ward: 8

🚧 A devastating landslide has occurred in Dobilla, Kushma Municipality-8. Our thoughts and prayers are with the affected families. Stay tuned for more updates! 🙏🏼 #LandslideAlert #KushmaMunicipality #StaySafe"
29,Bagmati,Bharatpur,Landslide,Chitwan,7/6/2021,"Landslide at Mungling, Bharatpur Metropolitan City-29","🚨 Urgent Update 🚨

📍 Mungling, Bharatpur Metropolitan City-29

🌧️ A devastating landslide occurred in this area on 7/6/2021. Our thoughts and prayers go out to all those affected.

🚨 Please exercise caution and avoid the affected area until further notice. Safety first!

#LandslideAlert #StaySafe #BharatpurStrong #PrayersForMungling"
2,Koshi,Sabhapokhari,Landslide,Sankhuwasabha,7/5/2021,"Landslide at Bot Gaun, Sabhapokhari Rural Municipality-2","🚨 Urgent Update 🚨

💔 Heartbreaking news from Bot Gaun, Sabhapokhari Rural Municipality-2. A devastating landslide has struck our community, causing immense damage and loss.

🌧️ Let's stand together during this challenging time and extend our support to the affected families. Reach out and lend a helping hand in any way you can.

📍 Incident Date: 7/5/2021
🌍 Province: Koshi
🏞️ District: Sankhuwasabha
🏙️ Municipality: Sabhapokhari
🏘️ Ward: 2

#Landslide #DisasterRelief #CommunitySupport #StandTogether #PrayersForBotGaun"
1,Koshi,Silichong,Landslide,Sankhuwasabha,7/5/2021,"Landslide at Tenchhong, Silichong Rural Municipality-1","🚨 Urgent Update! 🚨 

📢 Landslide Alert 📢

A massive landslide occurred at Tenchhong, Silichong Rural Municipality-1 in Sankhuwasabha District, Koshi Province. Please exercise caution and stay away from the affected area. Our thoughts are with the residents of Silichong Ward 1. Stay safe! 💙 #LandslideAlert #Silichong #Sankhuwasabha #StaySafe"
5,Bagmati,Tadi,Landslide,Nuwakot,7/4/2021,"Landslide at Banchare, Tadi Rural Municipality-5","🚨 Urgent Update 🚨

🌧️ A devastating landslide has occurred at Banchare, Tadi Rural Municipality-5, Nuwakot District, Bagmati Province. Stay safe and take necessary precautions!

#LandslideAlert #StaySafe #Nuwakot #BagmatiProvince"
15,Koshi,Triyuga,Landslide,Udayapur,7/4/2021,"Landslide at Kubinde, Triyuga Municipality-15","🚨 Urgent Update 🚨

📢 Landslide Alert 📢

📍 Kubinde, Triyuga Municipality-15

A devastating landslide has occurred in Kubinde, Triyuga Municipality-15, Udayapur District. Please exercise extreme caution and stay away from the affected area.

🚧 Authorities are working tirelessly to ensure the safety of everyone. Evacuation measures are underway. 🚧

🙏 Let's keep the affected community in our thoughts and prayers during this challenging time. 🙏

#LandslideAlert #StaySafe #UdayapurStrong #PrayersForTriyuga"
2,Bagmati,Umakunda,Landslide,Ramechhap,7/4/2021,"Landslide at Gurunda, Umakunda Rural Municipality-2","🚨 Urgent Update 🚨
A devastating landslide has occurred in Gurunda, Umakunda Rural Municipality-2, Ramechhap district, Bagmati province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 💔 #LandslideAlert #StaySafe #PrayersForGurunda"
1,Koshi,Aathrai Tribeni,Landslide,Taplejung,7/4/2021,Landslide at Aathrai Tribeni Rural Municipality-1,"🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide occurred at Aathrai Tribeni Rural Municipality-1, Taplejung District, Koshi Province. Stay safe and take necessary precautions!

#LandslideAlert #StaySafe #Taplejung #Koshi #NaturalDisaster"
6,Koshi,Mapya Dudhkoshi,Landslide,Solukhumbu,7/4/2021,"Landslide at Solaban, Mapya Dudhkoshi Rural Municipality-6","🚨 Urgent Update 🚨

📍 Solaban, Mapya Dudhkoshi Rural Municipality-6

A devastating landslide occurred on 7/4/2021 in Solukhumbu District, Koshi Province. Our thoughts are with the affected residents of Mapya Dudhkoshi Ward-6. Stay tuned for further updates and safety precautions. 🙏🏻💔 #LandslideAlert #StaySafe #SolukhumbuStrong"
10,Gandaki,Bhanu,Landslide,Tanahu,7/3/2021,"Landslide at Yarang, Bhanu Municipality-10","🚨 Urgent Update 🚨

Title: Landslide at Yarang, Bhanu Municipality-10

💔 Our hearts go out to the residents of Yarang, Bhanu Municipality-10 in Tanahu district, Gandaki province, who have been affected by a devastating landslide. 

🌧️ The incident occurred on 7/3/2021, and we are closely monitoring the situation. Our thoughts are with the affected families during this difficult time.

#Landslide #Tanahu #Gandaki #BhanuMunicipality #StaySafe"
9,Bagmati,Dhunibesi,Landslide,Dhading,7/3/2021,"Landslide at Pipalamod, Dhunibesi Municipality-9","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

📍 Pipalamod, Dhunibesi Municipality-9, Dhading

📅 Incident Date: 7/3/2021

📍 Province: Bagmati
📍 District: Dhading
📍 Municipality: Dhunibesi
📍 Ward: 9

Stay safe and be cautious, everyone! 🙏

#LandslideAlert #StaySafe #Dhading #Bagmati #NaturalHazard #SafetyFirst"
9,Bagmati,Raksirang,Landslide,Makwanpur,7/3/2021,"Landslide at Taraling, Raksirang Rural Municipality-9","🚨 Urgent Update 🚨

📢 Landslide Alert 📢

Title: Landslide at Taraling, Raksirang Rural Municipality-9

🌍 Province: Bagmati
📍 District: Makwanpur
🏢 Municipality: Raksirang
🏘️ Ward: 9

⚠️ A devastating landslide occurred on 7/3/2021 in Taraling. Our thoughts are with the affected community. Stay safe and be cautious in the area.

#LandslideAlert #StaySafe #TaralingStrong #Makwanpur #Raksirang #Bagmati #Ward9"
6,Gandaki,Pokhara Lekhnath,Landslide,Kaski,7/3/2021,"Landslide at Padhere, Pokhara Lekhnath Metropolitan City-6","🚨 Urgent Update 🚨

🌧️ Landslide at Padhere, Pokhara Lekhnath Metropolitan City-6 🏞️

📅 Incident Date: 7/3/2021
📍 Province: Gandaki
🏢 District: Kaski
🏙️ Municipality: Pokhara Lekhnath
🏘️ Ward: 6

🚧 Due to a recent landslide in Padhere, Pokhara Lekhnath Metropolitan City-6, please exercise caution and avoid the affected area. Stay safe, everyone! 🙏

#LandslideAlert #SafetyFirst #PokharaLekhnath #StaySafe"
8,Gandaki,Bhanu,Landslide,Tanahu,7/2/2021,"Landslide at Gauriphat, Bhanu Municipality-8","🚨 Urgent Update 🚨
A devastating landslide has occurred at Gauriphat, Bhanu Municipality-8 in Tanahu district, Gandaki province. Please stay safe and be cautious of potential hazards in the area. Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #GauriphatLandslide #TanahuDistrict #GandakiProvince"
13,Koshi,Dharan,Landslide,Sunsari,7/2/2021,Landslide at Dharan Submetropolitan City-13,"🚨 Urgent Update 🚨

🌧️ Landslide at Dharan Submetropolitan City-13 🌧️

📅 Incident on: 7/2/2021
📍 Province: Koshi
🏞️ District: Sunsari
🏢 Municipality: Dharan
🏘️ Ward: 13

Stay safe, everyone! Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #DharanStrong"
1,Koshi,Tyamkemaiyung,Landslide,Bhojpur,7/2/2021,"Landslide at Setibagar, Tyamkemaiyung Rural Municipality-1","🚨 Landslide Alert 🚨
A devastating landslide occurred at Setibagar, Tyamkemaiyung Rural Municipality-1, Bhojpur District. Stay safe and take necessary precautions! #LandslideAlert #StaySafe #BhojpurDistrict #TyamkemaiyungRuralMunicipality"
10,Bagmati,Benighat Rorang,Landslide,Dhading,7/2/2021,"Landslide at Jewang Khola, Benighat Rorang Rural Municipality-10","🚨 Urgent Update 🚨

🌧️ Landslide at Jewang Khola, Benighat Rorang Rural Municipality-10 🌧️

📅 Incident Date: 7/2/2021
📍 District: Dhading, Bagmati Province
🏞️ Municipality: Benighat Rorang
🏘️ Ward: 10

Stay safe and stay informed! Follow us for more updates. #LandslideAlert #StaySafe #BenighatRorang #Dhading"
5,Bagmati,Changunarayan,Landslide,Bhaktapur,7/2/2021,"Landslide at Chhaling, Changunarayan Municipality-5","🚨 Urgent Update! 🚨 A devastating landslide has occurred at Chhaling, Changunarayan Municipality-5 in Bhaktapur district, Bagmati province. Stay safe and keep the affected community in your thoughts. #LandslideAlert #StaySafe #BhaktapurStrong 🙏🏻💔🌍"
7,Gandaki,Siranchok,Landslide,Gorkha,7/2/2021,"Landslide at Upallo gorahe, Siranchok Rural Municipality-7","🚨 Urgent Update! 🚨
A devastating landslide has occurred at Upallo gorahe in Siranchok Rural Municipality-7, Gorkha district. Stay safe, everyone! 🙏 #LandslideAlert #StaySafe #GorkhaStrong #SiranchokRuralMunicipality7 #GandakiProvince"
4,Gandaki,Sundarbazar,Landslide,Lamjung,7/2/2021,"Landslide at Purano di, Sundarbazar Municipality-4","🚨 Urgent Update 🚨

🌧️ Landslide at Purano di, Sundarbazar Municipality-4 🌧️

📅 Incident on: 7/2/2021
📍 Province: Gandaki
🏞️ District: Lamjung
🏙️ Municipality: Sundarbazar
🏢 Ward: 4

Stay safe and take necessary precautions! Our thoughts are with the affected community. 🙏

#LandslideAlert #StaySafe #NaturalDisaster #PrayersForLamjung"
5,Bagmati,Kathmandu,Landslide,Kathmandu,7/2/2021,"Landslide at Chhakdole, Kathmandu Metropolitan City-5","🚨 Urgent Update 🚨

🌧️ Landslide Alert in Chhakdole, Kathmandu Metropolitan City-5! 🌧️

📅 Incident Date: 7/2/2021
📍 Province: Bagmati
🏞️ District: Kathmandu
🏢 Municipality: Kathmandu
🏘️ Ward: 5

Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. 🙏 #LandslideAlert #StaySafe #KathmanduStrong"
7,Bagmati,Raksirang,Landslide,Makwanpur,7/2/2021,"Landslide at Charimara, Raksirang Rural Municipality-7","🚨 Urgent Update 🚨
Title: Landslide at Charimara, Raksirang Rural Municipality-7

A devastating landslide has struck Charimara in Raksirang Rural Municipality-7, Makwanpur District, Bagmati Province. Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏 #Landslide #SafetyFirst #PrayersForCharimara"
9,Gandaki,Shuklagandaki,Landslide,Tanahu,7/1/2021,"Landslide at Dhorpheri, Shuklagandaki Municipality-9","🚨 Urgent Update! 🚨

🌧️ Landslide at Dhorpheri, Shuklagandaki Municipality-9 🌧️

📅 Incident Date: 7/1/2021
📍 Province: Gandaki
📍 District: Tanahu
📍 Municipality: Shuklagandaki
📍 Ward: 9

Stay safe, everyone! 🙏 Our thoughts are with the affected community. #Landslide #EmergencyResponse #StaySafe"
3,Gandaki,Bandipur,Landslide,Tanahu,7/1/2021,"Landslide at Tamung, Bandipur Rural Municipality-3","🚨 Urgent Update 🚨
Title: Landslide at Tamung, Bandipur Rural Municipality-3

⚠️ A devastating landslide has struck Tamung, Bandipur Rural Municipality-3 in Tanahu District, Gandaki Province. Our thoughts are with the affected community during this challenging time. 

Please stay tuned for further updates and safety precautions. 🙏🏼 #LandslideAlert #Bandipur #StaySafe"
8,Bagmati,Kamalamai,Landslide,Sindhuli,7/1/2021,"Landslide at pahire, Kamalamai Municipality-8","🚨 Urgent Update 🚨

Title: Landslide at Pahire, Kamalamai Municipality-8

We regret to inform you that a devastating landslide has occurred in Pahire, Kamalamai Municipality-8, Sindhuli District. Our thoughts and prayers are with the affected families.

Stay tuned for further updates and please take necessary precautions to ensure your safety.

#LandslideAlert #StaySafe #PrayersForPahire #SindhuliStrong"
4,Bagmati,Changunarayan,Landslide,Bhaktapur,7/1/2021,"Landslide at Chhap, Changunarayan Municipality-4","🚨 Urgent Update 🚨

💔 Landslide at Chhap, Changunarayan Municipality-4 💔

📅 Incident on: 7/1/2021
📍 Province: Bagmati
🗺️ District: Bhaktapur
🏢 Municipality: Changunarayan
🌄 Ward: 4

🙏 Stay safe, everyone! Our thoughts are with the affected community. Let's come together and support them during this challenging time. #Landslide #Chhap #SafetyFirst"
12,Bagmati,Dudhouli,Landslide,Sindhuli,7/1/2021,"Landslide at Jinakhu, Dudhouli Municipality-12","🚨 Urgent Update 🚨

Title: Landslide at Jinakhu, Dudhouli Municipality-12

🌍 Province: Bagmati
📍 District: Sindhuli
🏢 Municipality: Dudhouli
🏢 Ward: 12

🚧 A devastating landslide occurred on 7/1/2021 in Jinakhu, Dudhouli Municipality-12. Our thoughts are with the affected community. Stay safe and stay tuned for more updates.

#LandslideAlert #EmergencyResponse #StaySafe"
7,Gandaki,Bhimad,Landslide,Tanahu,7/1/2021,"Landslide at Patneri, Bhimad Municipality-7","🚨 Urgent Update 🚨

Title: Landslide at Patneri, Bhimad Municipality-7

We regret to inform you about a devastating landslide that occurred in Patneri, Bhimad Municipality-7. Our thoughts and prayers are with the affected community.

📍 Location: Tanahu District, Gandaki Province
📅 Incident Date: 7/1/2021

Stay tuned for more updates on the situation. Let us all come together to support and help the affected residents during this difficult time. 🙏

#Landslide #EmergencyResponse #SupportingCommunity #PrayersForPatneri"
5,Gandaki,Myagde,Landslide,Tanahu,7/1/2021,Landslide at Myagde Rural Municipality-5,"🚨 Urgent Update 🚨
Title: Landslide at Myagde Rural Municipality-5

💥 A massive landslide has occurred at Myagde Rural Municipality-5, Tanahu district, Gandaki province. Stay safe and stay alert!

📅 Incident Date: 7/1/2021
📍 Location: Myagde Rural Municipality-5, Tanahu district

#LandslideAlert #StaySafe #Myagde #Tanahu #Gandaki"
9,Gandaki,Shuklagandaki,Landslide,Tanahu,7/1/2021,"Landslide at Dhorpheri, Shuklagandaki Municipality-9","🚨 Urgent Update 🚨

Title: Landslide at Dhorpheri, Shuklagandaki Municipality-9

🌍 Location: Shuklagandaki Municipality-9, Tanahu, Gandaki Province
🌧️ Hazard: Landslide
📅 Incident Date: 7/1/2021

🙏 Our thoughts are with the affected community. Stay safe and seek shelter in a secure location. Follow local authorities for updates. 🙏

#LandslideAlert #StaySafe #ShuklagandakiMunicipality9 #Tanahu #GandakiProvince #NaturalHazard #SafetyFirst"
12,Gandaki,Vyas,Landslide,Tanahu,7/1/2021,"Landslide at Chhirkane, Vyas Municipality-12","🚨 Urgent Update 🚨

🌧️ Landslide at Chhirkane, Vyas Municipality-12 🌧️

📅 Incident Date: 7/1/2021
📍 Location: Vyas Municipality-12, Tanahu, Gandaki Province

⚠️ A devastating landslide has struck Chhirkane in Vyas Municipality-12. Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏

#LandslideAlert #StaySafe #PrayersForChhirkane #NaturalDisaster #GandakiProvince #Tanahu #VyasMunicipality"
7,Gandaki,Rainas,Landslide,Lamjung,7/1/2021,"Landslide at Garambesi, Rainas Municipality-7","🚨 Urgent Alert 🚨

🌧️ Landslide at Garambesi, Rainas Municipality-7 🌧️

💔 Our thoughts are with the affected community in Gandaki Province, Lamjung District. A devastating landslide occurred on 7/1/2021 in Ward 7 of Rainas Municipality.

🙏 Let's come together to support those affected and provide assistance wherever possible. Stay safe and stay strong, Rainas!

#LandslideAlert #PrayForRainas #GandakiProvince #LamjungDistrict #StaySafe"
4,Gandaki,MadhyaNepal,Landslide,Lamjung,7/1/2021,"Landslide at Tilahar, MadhyaNepal Municipality-4","🚨 Urgent Update 🚨

💔 Landslide at Tilahar, MadhyaNepal Municipality-4 💔

🌍 Province: Gandaki
📍 District: Lamjung
🏢 Municipality: MadhyaNepal
🏘️ Ward: 4

📅 Incident Date: 7/1/2021

🙏 Our thoughts and prayers go out to the affected community. Stay safe and stay strong! 🙏

#Landslide #EmergencyResponse #StaySafe #PrayersNeeded"
12,Bagmati,Rapti,Landslide,Chitwan,7/1/2021,"Landslide at Parkhaltole, Rapti Municipality-12","🚨 Urgent Update 🚨

📍 Location: Parkhaltole, Rapti Municipality-12
🌍 Province: Bagmati
🌆 District: Chitwan
🏢 Municipality: Rapti
🏞️ Ward: 12

⚠️ A devastating landslide occurred on 7/1/2021 in Parkhaltole, Rapti Municipality-12. We are closely monitoring the situation and will provide updates as they become available. Our thoughts and prayers go out to the affected community. Stay safe, everyone! 🙏 #LandslideAlert #StaySafe"
11,Bagmati,Kalika,Landslide,Chitwan,7/1/2021,"Landslide at Danetar, Kalika Municipality-11","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A major landslide has occurred at Danetar, Kalika Municipality-11 in Chitwan district, Bagmati province. Please exercise caution and stay away from the affected area. Our thoughts are with the residents of Ward 11. Stay safe, everyone! 🙏 #LandslideAlert #StaySafe #ChitwanStrong"
1,Koshi,Khumbupasanglahmu,Landslide,Solukhumbu,7/1/2021,"Landslide at Lyamhu, Khumbupasanglahmu Rural Municipality-1","🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

A devastating landslide has occurred at Lyamhu, Khumbupasanglahmu Rural Municipality-1 in Solukhumbu District, Koshi Province. Please exercise caution and stay safe. Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #SolukhumbuDistrict"
32,Gandaki,Pokhara Lekhnath,Landslide,Kaski,7/1/2021,"Landslide at Sitagupha, Pokhara Lekhnath Metropolitan City-32","🚨 Urgent Update 🚨

📢 Landslide at Sitagupha, Pokhara Lekhnath Metropolitan City-32 📢

🌍 Hazard: Landslide
📅 Incident Date: 7/1/2021
📍 Province: Gandaki
🏞 District: Kaski
🏙 Municipality: Pokhara Lekhnath
🏢 Ward: 32

🙏 Stay safe and avoid the affected area. Our thoughts are with those affected by this natural disaster. #Landslide #StaySafe #NepalStrong"
8,Gandaki,Shuklagandaki,Landslide,Tanahu,7/1/2021,"Landslide at Pahadi, Shuklagandaki Municipality-8","🚨 Urgent Update 🚨

🌧️ A devastating landslide has occurred at Pahadi, Shuklagandaki Municipality-8 in Tanahu district, Gandaki province. Our thoughts are with the affected community. 🙏

📅 Incident Date: 7/1/2021
📍 Location: Shuklagandaki Municipality-8, Tanahu

Stay safe and stay tuned for further updates. 🚧 #LandslideAlert #StaySafe #TanahuStrong"
2,Gandaki,Palungtar,Landslide,Gorkha,7/1/2021,"Landslide at Bijulidanda, Palungtar Municipality-2","🚨 Urgent Notice 🚨

📢 Landslide Alert! 📢

🌧️ A massive landslide occurred at Bijulidanda, Palungtar Municipality-2, Gorkha. Please exercise caution and stay safe! 🙏

📅 Incident Date: 7/1/2021
📍 Location: Bijulidanda, Palungtar Municipality-2, Gorkha
🌍 Province: Gandaki
🏢 Municipality: Palungtar
🏘️ Ward: 2

Stay tuned for updates and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. 🌍❤️

#LandslideAlert #StaySafe #Gorkha #Nepal #NaturalDisaster #SafetyFirst"
4,Gandaki,Palungtar,Landslide,Gorkha,7/1/2021,"Landslide at Chhapthoik, Palungtar Municipality-4","🚨 Urgent Update 🚨

A devastating landslide occurred at Chhapthoik, Palungtar Municipality-4 in Gorkha district, Gandaki province on 7/1/2021. Our thoughts are with the affected community. Stay tuned for more information and ways to support. 🙏 #Landslide #Gorkha #StaySafe"
3,Koshi,Sidingba,Landslide,Taplejung,7/1/2021,Landslide at Sidingba Rural Municipality-3,"🚨 Urgent Alert! 🚨 A devastating landslide has occurred at Sidingba Rural Municipality-3 in Taplejung district, Koshi province. Stay safe, everyone! 🙏 #Landslide #Nepal #Taplejung #SafetyFirst"
10,Lumbini,Rolpa,Landslide,Rolpa,6/29/2021,"Landslide at Dhawang, Rolpa Municipality-10","🚨 Urgent Update 🚨

Title: Landslide at Dhawang, Rolpa Municipality-10

We regret to inform you that a devastating landslide occurred in Dhawang, Rolpa Municipality-10. Our thoughts are with the affected community during this difficult time.

📅 Incident Date: 6/29/2021
📍 Province: Lumbini
🏞️ District: Rolpa
🏙️ Municipality: Rolpa
🏘️ Ward: 10

Please stay tuned for more updates and information on relief efforts. Let's come together and support those affected by this natural disaster. 🙏

#Landslide #NaturalDisaster #PrayersForRolpa #StayStrongRolpa #SupportAndRelief #Community #TogetherWeCan"
1,Gandaki,Kushma,Landslide,Parbat,6/29/2021,"Landslide at Saharsha, Kushma Municipality-1","🚨 Urgent Update 🚨

📢 Landslide Alert 📢

Title: Landslide at Saharsha, Kushma Municipality-1

🌧️ Nature can be unpredictable! A massive landslide has occurred in Saharsha, Kushma Municipality-1, Parbat District. 🏔️

📅 Incident Date: 6/29/2021
📍 Province: Gandaki
🏙️ Municipality: Kushma
🗺️ Ward: 1

💔 Our thoughts and prayers go out to the affected community. Stay safe and follow local authorities' instructions.

#LandslideAlert #StaySafe #ParbatDistrict #GandakiProvince #KushmaMunicipality #PrayersForSaharsha"
5,Koshi,Sirijangha,Landslide,Taplejung,6/29/2021,"Landslide at Baipa, Sirijangha Rural Municipality-5","🚨 Urgent Alert! 🚨 

📍 Landslide at Baipa, Sirijangha Rural Municipality-5 🏔️

We regret to inform you that a devastating landslide has occurred in Baipa, Sirijangha Rural Municipality-5, Taplejung District, Koshi Province. Our thoughts and prayers are with the affected community. Stay tuned for updates and stay safe, everyone! 🙏 #LandslideAlert #StaySafe #TaplejungStrong"
8,Gandaki,Kushma,Landslide,Parbat,6/28/2021,"Landslide at Chuwa, Kushma Municipality-8","🚨 Urgent Update! 🚨

🌧️ A devastating landslide has occurred in Chuwa, Kushma Municipality-8, Parbat District. Our thoughts are with the affected community. 🙏

📍 Location: Chuwa, Kushma Municipality-8, Parbat District
🌍 Province: Gandaki
🏢 Municipality: Kushma
🏘️ Ward: 8

Stay safe, everyone! 🙌 #LandslideAlert #StaySafe #ParbatDistrict #GandakiProvince"
5,Gandaki,Annapurna,Landslide,Kaski,6/28/2021,"Landslide at Nayapul, Annapurna Rural Municipality-5","🚨 Urgent Update! 🚨

💔 Landslide at Nayapul, Annapurna Rural Municipality-5 💔

🌍 Location: Kaski District, Gandaki Province
📅 Incident Date: 6/28/2021

🆘 Our thoughts and prayers go out to the affected community of Nayapul, Annapurna Rural Municipality-5, who have been hit by a devastating landslide. 🙏

📢 Stay tuned for more updates and information on relief efforts. Let's come together to support those affected during this difficult time. 💪

#Landslide #Nayapul #AnnapurnaRuralMunicipality5 #Kaski #Gandaki #StayStrong #Support #Community #TogetherWeCan"
3,Karnali,Kapurkot,Landslide,Salyan,6/27/2021,Landslide at Kapurkot Rural Municipality-3,"🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

📍 Kapurkot Rural Municipality-3, Salyan, Karnali 🏔️

📅 Incident Date: 6/27/2021

⚠️ Attention, everyone! A landslide has struck Kapurkot Rural Municipality-3 in Salyan district, Karnali province. Please stay safe and take necessary precautions. 🙏

#LandslideAlert #Kapurkot #Salyan #StaySafe #NaturalHazard #Karnali"
