text,target
No craftable heals or Barrel Bombs on hand? Nullberries are pretty good against how much blight seemsâ€¦ https://t.co/afaqWQU91S,0
"ðŸš¨ ALERT ðŸš¨ A devastating landslide has occurred at Divtole, Banepa Municipality-14 in Kavrepalanchok district, Bagmati province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #Banepa #Kavrepalanchok",1
"ðŸš¨ Earthquake Alert ðŸš¨

ðŸ“ Rhishing Rural Municipality-1, Tanahu, Gandaki Province

ðŸ“… Incident Date: 4/25/2015

Stay safe and keep calm! Our thoughts are with the people affected by the recent earthquake in Rhishing Rural Municipality-1. ðŸ™

#Earthquake #StaySafe #RhishingRuralMunicipality #Tanahu #GandakiProvince",1
"A very good read. True that the authority has declared war on Hong Kong people. Use of tear gas &amp; live rounds, yâ€¦",0
"ðŸš¨ Urgent Alert ðŸš¨
ðŸŒŠ Flood at Golbazar Municipality-6 ðŸŒŠ
ðŸ“… Incident on: 2022-05-29
ðŸ“ Province: Madhesh
ðŸ“ District: Siraha
ðŸ“ Municipality: Golbazar
ðŸ“ Ward: 6

Please stay safe and take necessary precautions. Follow local authorities' instructions. #Flood #Emergency #StaySafe",1
"A landslide occurred on 2023-07-06 in Kanthamali, Tribeni Rural Municipality-2, Rolpa, Lumbini. The incident caused significant damages in the area. Investigations are currently underway to understand the causes behind the landslide.",1
"ðŸš¨ Urgent Alert ðŸš¨

Attention residents of Butwal Submetropolitan City-17, Ranigunj area! ðŸŒŠ

We regret to inform you that a severe flood has struck our community. Please take immediate precautions to ensure your safety. Stay tuned for further updates. ðŸ™

#FloodAlert #ButwalFlood #StaySafe",1
"No, I still do, I just don't talk about it very much on here because me DM's got inundated by people trying to sell me picks.",0
"Weâ€™re inundated in technicalities enough, he should have been permitted a second go which is really a fiâ€¦ https://t.co/YVdM9K5NCS",0
"2023-07-14, Koshi's Sunsari district's Inaruwa Municipality's Ward 8 was hit by a severe flood. Families have been affected, with loss of life and property suspected. Relief and Rescue operations are underway in the district.",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ’” Devastating Landslide ðŸ’”

ðŸŒ§ï¸ A massive landslide has struck Panchadewal Binayak Municipality-4 in Achham district, Sudurpashchim Province. 

ðŸ“† Incident Date: 6/14/2021

ðŸ™ Our thoughts and prayers are with the affected community. Stay strong!

#LandslideAlert #PrayForAchham #StaySafe",1
"Low tide leaves Venice's canals dry, just months after severe floods https://t.co/irGhhYexMr via",1
NOOOO THE SCRATCH IS FATAL-,0
"When you open the door to self pity , to blame, all kinds of negative thoughts will flood your mind",0
1 week into 2020: 1. Flood in Jkt 2. Fire in Australia 3. WW3 madness and now... Reynhard Sinaga Damn...2020 needs to châ€¦,0
"ðŸš¨ #Flood Alert ðŸš¨
ðŸŒŠ A devastating flood has hit Madi Rural Municipality-9, Kaski District, Gandaki Province. Stay safe and follow local authorities' instructions. #StaySafe #DisasterAlert #MadiFloods",1
people try too hard to be â€œscaryâ€ â€œdifferentâ€ â€œastheticâ€ these days to the point your head is blown off like Iâ€™m trâ€¦ https://t.co/wpQ2XIX6jv,0
"ðŸš¨ Urgent News ðŸš¨
A devastating landslide occurred in Mahabir, Dharmadevi Municipality-1. Please stay safe and avoid the affected area. Our thoughts are with the residents of Sankhuwasabha, Koshi Province. ðŸ™ #LandslideAlert #StaySafe #Sankhuwasabha #KoshiProvince",1
Googleâ€™s hydraulic model for this river in India is much more accurate (inundation mapping) than legacy models. Shâ€¦ https://t.co/o3TNKH86Rt,0
rt to join a gdm - loves dead kids - no ones adding me to their gdms so - pls do rt ðŸ¥º,0
"ðŸŒŠ Flood Alert ðŸŒŠ 
Stay safe, everyone! A severe flood hit Benighat Rorang Rural Municipality-3 in Dhading district, Bagmati province. Please take necessary precautions and stay away from affected areas. Our thoughts and prayers are with the residents. ðŸ™ #FloodAlert #StaySafe #BenighatRorang #Dhading #Bagmati",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒ§ï¸ Landslide at Mudhabas, Nisdi Rural Municipality-4 ðŸŒ§ï¸

We regret to inform you about a recent landslide incident that occurred on 7/8/2021 in Nisdi Rural Municipality-4, Palpa district, Lumbini province. The affected area is Mudhabas.

ðŸ™ Our thoughts go out to all those impacted by this natural disaster. Stay safe and vigilant during this challenging time. ðŸ™

#LandslideAlert #NisdiRuralMunicipality #Mudhabas #PalpaDistrict #LumbiniProvince #StaySafe",1
"RT CurbedNY """"The hollow grandeur of Hudson Yards and the evacuated spaces of the Hunters Point Library in Queens hâ€¦ https://t.co/QCGMiL5qR6",0
"ðŸ”¥ Forest Fire Alert! ðŸ”¥

A devastating forest fire broke out in Kerabari, Ramprasad Rai Rural Municipality-3, Bhojpur district. The incident occurred on 4/17/2022. ðŸŒ²ðŸ”¥

Please stay safe and avoid the affected area. Our thoughts are with the residents and authorities working tirelessly to control the blaze. ðŸ™

#ForestFire #EmergencyAlert #StaySafe",1
"The IMF obliterated Caribbean economies, including putting many of my farming relatives in Jamaica out on the streets, byâ€¦",0
"ðŸš¨ Breaking News ðŸš¨ An earthquake struck Rolpa Municipality-10 in the Lumbini Province on 4/25/2015. Stay safe, everyone! ðŸ™ #Earthquake #Rolpa #Lumbini #StaySafe",1
"ðŸš¨ Urgent Alert! ðŸš¨
ðŸŒŠ Flood at Jadanga, Badimalika Municipality-4 ðŸŒŠ

We regret to inform you that a devastating flood has hit Jadanga in Badimalika Municipality-4, Bajura. The incident occurred on 8/10/2020, and the situation is currently critical. 

Residents are advised to take immediate precautions and stay safe. Authorities are working tirelessly to provide assistance and support to those affected. 

Please keep the people of Jadanga in your thoughts and prayers during this challenging time. ðŸ™

#FloodAlert #EmergencyResponse #StaySafe #Jadanga #Badimalika #Bajura",1
"â€œHotter oceans lead to more severe storms and disrupt the water cycle, meaning more floods, droughts and wildfires,â€¦ https://t.co/4zsD7RgUAl",0
"Hurricane Matthew Starter Kit: Dominoes, Alcohol, Food, Snacks, Music & Good Vibes #2MV #Miami… https://www.instagram.com/p/BLPVRWwBUig/ ",0
We? Hindus didnt riot on the streets against providing citizenship to persecuted minorities of Pak aâ€¦ https://t.co/inUv0F0VIo,0
A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequencâ€¦,1
Haitians are still asking where the money is from the last earthquake where the Crooked Clinton Foundation collected billiâ€¦,0
We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.â€¦,0
"ðŸš¨ Urgent Notice ðŸš¨

A devastating landslide has occurred at Kacal, Tinau Rural Municipality-1 in Palpa district, Lumbini province. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #LandslideAlert #StaySafe #TinauRuralMunicipality1 #Palpa #Lumbini",1
"ðŸš¨ Urgent Notice ðŸš¨

ðŸŒŠ Flood at Bagnaskali Rural Municipality-7 ðŸŒŠ

Dear residents of Bagnaskali Rural Municipality-7, we regret to inform you that a severe flood occurred today, 6/20/2020. The flood has affected our municipality, causing significant damage and disruption.

ðŸ“ Location: Bagnaskali Rural Municipality-7, Palpa, Lumbini Province
âš ï¸ Hazard: Flood

Please stay safe and take necessary precautions. We advise everyone to avoid flooded areas and seek higher ground if necessary. Stay tuned for further updates and instructions from local authorities.

Let's stand together and support each other during this challenging time. Our thoughts and prayers are with everyone affected by this natural disaster.

#BagnaskaliFlood #StaySafe #SupportEachOther",1
"ðŸš¨ Urgent Notice ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

Attention residents of Tansen Municipality-13, Palpa District! A severe flood has hit Ranighat area, causing significant damage. Please take necessary precautions and stay safe!

ðŸ—“ï¸ Incident Date: 6/20/2020
ðŸ“ Location: Ranighat, Tansen Municipality-13, Palpa
ðŸŒ Province: Lumbini

Stay tuned for updates and follow the guidelines provided by local authorities. Let's support each other during this challenging time. #StaySafe #FloodAlert",1
"ðŸš¨ Urgent Alert: Landslide at Gard Ransi, Bheri Municipality-2 ðŸš¨

ðŸŒ§ï¸ A massive landslide has occurred in Gard Ransi, Bheri Municipality-2, Jajarkot. Please stay safe and avoid the affected area.

ðŸ“… Incident Date: 9/21/2021
ðŸ“ Province: Karnali
ðŸžï¸ District: Jajarkot
ðŸ¢ Municipality: Bheri
ðŸ˜ï¸ Ward: 2

Let's keep the affected individuals in our thoughts and prayers. Stay tuned for updates and safety guidelines. ðŸ™ #Landslide #StaySafe",1
"A massive landslide struck ward 4 of Konjyosom Rural Municipality in Lalitpur, Bagmati province on 2023-07-08, killing two people and damaging several homes at Lakuri Bhanjyang. Rescue personnel are currently working to provide relief and assistance to those affected by the disaster.",1
"Suspected Suicide Bomber Headed Toward America, Likely to Come to This State - Tedium Media https://t.co/rLODRHThaB",0
Does the push for mass vaccination point toward a staged bioterror event? https://t.co/o10epcfRV6,0
Looks like UT has survived again other than tree/car damage. Did get scary thoRT @abaaron All tornado warnings for Knox County have expired,0
Gizmodo - This Gorgeous Carbon Fiber Sled Could Be Your Perfect Post-Frankenstorm Ride: If hurricane Sandy ... http://bit.ly/S8NWXU ,0
"Feel like crap. Been up all night..I officially have germs. Head feels stuffed, I'm sneezing back to back, eyes keeâ€¦ https://t.co/MVjq6J8fpF",0
We're the only place on earth that has the rip-off that is leasehold. It's a feudal hangover that has trapped millions in miseâ€¦,0
These idiots on GMB are still on about climate change has started the wild fires in Australia why donâ€™t they tell tâ€¦ https://t.co/W9Vg5OHFK2,0
I'm not so sure that burning the state to the ground is a very electable position. Starting with burning down a fewâ€¦ https://t.co/sCkG8EXT3x,0
"Search in Albania quake reduced, death toll at 49. Albania. Albania earthquake. AlbaniaEarthquake. Albania earthquake. Albanian. Albania terremoto. Pray for Albania. Albanian earthquake ",1
"2023-06-15, a flood struck Yamphudin, Phaktanglung Rural Municipality-6, Taplejung in the Koshi Province. The incident caused distress and fear in the area as the waters quickly rose. Local authorities are responding to the situation.",1
"A devastating landslide struck ward 5 of Sangurigadhi Rural Municipality, Dhankuta, Koshi on June 27, 2023. At least one person has been reported dead along with numerous homes destroyed. An emergency response team is on location providing aid to victims and assessing the damage.",1
#Indian Supreme Court ordered demolition of apartment building for violation of laws. #Pakistani #SC regularised illegalitiesâ€¦,0
"President just now: ""We killed Soleimani, the number one terrorist in the world by every account . . . Wheâ€¦",0
"ðŸš¨ Urgent Alert ðŸš¨

ðŸŒ Landslide at Sanni Tribeni Rural Municipality-8 ðŸŒ

ðŸš§ A devastating landslide occurred in Sanni Tribeni Rural Municipality-8, Kalikot District, Karnali Province on 9/21/2021. ðŸš§

ðŸ™ Our thoughts and prayers go out to the affected community. Stay safe and be vigilant. ðŸ™

#Landslide #SanniTribeni #Kalikot #Karnali",1
1/3 ðŸ¤© Hey #darts fans its time! Our monthly Gin &amp; Darts GIVEAWAY!ðŸ¤© This is an incredible prize! A set of â€¦,0
Turns out Australia isnâ€™t blazing because of climate change. Itâ€™s blazing because a vast amount of arsonist started theâ€¦,1
"Jeff Bezos gave $690,000 to wild fires in Australia, and has 116.7 billion dollars. To put this into perspective, my boyfrienâ€¦",0
Flood relief effort 2nite has been amazing! Thanks & God's blessings to all contributors! Food drive Saturday. #coflood #Lovelandgroceries,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood Alert ðŸŒŠ

A severe flood has hit Jamuneya in Katahariya Municipality-2, Rautahat District, Madhesh Province. Stay safe and take necessary precautions. ðŸ™

#FloodAlert #StaySafe #RautahatDistrict #MadheshProvince",1
"ðŸŒŠ Flood Alert! ðŸŒŠ
ðŸ“ Sundarijal, Kageshwori Manahora Municipality-9, Kathmandu ðŸ“

Heads up, everyone! A flood has hit Sundarijal, Kageshwori Manahora Municipality-9 in Kathmandu. Please stay safe and take necessary precautions. Our thoughts are with the affected community. ðŸ™ #FloodAlert #StaySafe #KathmanduStrong #PrayersForSundarijal",1
"On Wednesday, July 1, 2023, a massive landslide occurred in Sahadikhola, Rambha Rural Municipality-1 in Palpa district of Lumbini province. There were no reports of casualties, but properties were damaged due to the slide. Local authorities have begun an investigation into the landslide.",1
"ðŸŒŠ Flood Alert ðŸŒŠ

ðŸ“ Kuleshwor, Kageshwori Manahora Municipality-9

ðŸ“… Incident Date: 7/12/2019

ðŸŒ Province: Bagmati
ðŸ“ District: Kathmandu
ðŸ¢ Municipality: Kageshwori Manahora
ðŸ¢ Ward: 9

Stay safe and take necessary precautions! ðŸ™ #FloodAlert #StaySafe #Kathmandu",1
"In time of trouble, we stand united to provide aid relief to Kuantan's flood victims.Food & basic necessites are on its way. Syabas, donors!",0
Hurricane Harvey Effect on new car sales - Business Insider... (http://www.businessinsider.com/hurricane-harvey-effect-on-new-car-sales-2017-9¬†‚Ä¶),0
Nice. I called them out for supporting bioterrorism,0
We wanted to entertain you all with a good movie on Sankranthi festival. And you gave us a Landslide Victory as return gift.â€¦,0
Yâ€™all ever play against a champ with a remote detonate clone that instantly fears and 1-shots?,0
I say to those who are delaying action on climate change: Look at the blood-red sky and unbreathable air in Australia becauâ€¦,0
We're restoring peat bogs at places like to lock up carbon and protect the landscape. Teams of volunteersâ€¦,0
"A massive landslide on 2023-06-17 in Mehele, Sidingba Rural Municipality-6, Taplejung district of Koshi Province, has caused severe damage. Local residents are in distress while the authorities are assessing the degree of the damage.",1
Pray for Albania earthquake  sos earthquake Albania Albanian earthquake ,1
NWS Alert&gt; Small Stream Flood Advisory for Poor Drainage Areas for N Union County In NE Mississippi. S Tippah Countâ€¦ https://t.co/103TwlZagN,0
"ðŸš¨ Emergency Alert! ðŸš¨
Flood alert in Deumai Municipality-4, Ilam District, Koshi Province. Stay safe and take necessary precautions. #FloodAlert #StaySafe #DeumaiMunicipality4 #IlamDistrict #KoshiProvince",1
Lmfaooooo worlds collide https://t.co/WAaN0Eanh4,0
Hurricane Matthew: Family rescued from car rooftop: A family is rescued after being stranded on top of their… http://goo.gl/fb/U8pmi4  #news,0
I deeply respect you but have to disagree. The staff may have spread her â€œwordâ€ but I put 100% blame on â€¦,0
"imagine if......a whirlwind Twitter tour, selfies with buds, photoshop in the kilted moose after.",0
"ðŸš¨ ALERT ðŸš¨ Landslide reported at Pulchowk, Rhishing Rural Municipality-1, Tanahu. Please exercise caution and stay away from the affected area. Stay safe, everyone! #Landslide #SafetyFirst #Tanahu #Gandaki",1
"Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGSâ€™ 30-Day aftershock sâ€¦ https://t.co/bYIBfpLHYg",0
"ðŸš¨ Breaking News ðŸš¨

An earthquake has struck Kamalamai Municipality-5 in Sindhuli district of Bagmati province. Please stay safe and follow the instructions provided by local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KamalamaiMunicipality5 #Sindhuli #BagmatiProvince",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸ’” Heartbreaking news from Thadakhani, Raghuganga Rural Municipality-6! A devastating flood has struck the area today, causing significant damage and affecting the lives of many.

ðŸŒŠ Our thoughts and prayers go out to the residents of Thadakhani as they navigate through this difficult time. We stand by you, and we're here to support you in any way we can.

ðŸ“ Location: Thadakhani, Raghuganga Rural Municipality-6, Myagdi district, Gandaki province.

ðŸ“… Incident Date: 7/10/2020

ðŸš¨ Please stay safe and follow the instructions of local authorities. Let's come together as a community to help those in need and rebuild what has been lost. #PrayForThadakhani #StayStrongMyagdi",1
"Broke, destroyed, annihilated, shattered his ankle and abou was never d same again...",0
"ðŸš¨ Urgent Alert ðŸš¨

Attention residents of Chhathar Rural Municipality-2 in Terhathum district! ðŸŒŠ

A devastating flood has hit our area. Stay safe and take immediate precautions. Follow the instructions provided by local authorities. ðŸ™

#FloodAlert #ChhatharRuralMunicipality #Terhathum #StaySafe",1
Lethal weapon,0
"I don't know what the next posterity will be like because the forest, ocean are polluted, on fire.",0
"That's your positive side kicking in. But to do that at the expense of the ""still panicking"" humâ€¦ https://t.co/23rCJIlPLy",0
"ðŸš¨ Urgent Alert! ðŸš¨

A devastating flood has hit Jhumse, Tinau Rural Municipality-3 in Palpa district, Lumbini Province. Please stay safe and take necessary precautions. Our thoughts are with everyone affected by this natural disaster. #Flood #StaySafe #PrayersForPalpa",1
"On June 15, 2023, a devastating flood hit Tawakhola, in Sidingba Rural Municipality-7 of Taplejung district, Koshi Province. The loss of property and life has not yet been reported and rescue operations are still ongoing. People are urged to take necessary safety precautions.",1
"Thank you, rescuers â¤ï¸ It breaks my heart so much that theyâ€™d leave them all there in the first place. ðŸ˜­",0
Wow what a rescue Albanian Earthquake ,1
Some causes of structural failure during #Dorian. https://t.co/LTIqqqHRAx,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒ§ï¸ A devastating landslide occurred at Hulma, Khandachakra Municipality-2 in Kalikot district, Karnali province. Our thoughts are with the affected community. Stay strong! ðŸ’”

#LandslideAlert #PrayForKhandachakra #StaySafe #KarnaliStrong",1
"The only consolation: the number of helpers is also increasing. Albania earthquake Albanian earthquake Albania 
",1
The winter in Gaza has a special character .. !!! There are many poor people in Gaza living in homes partially destroyedâ€¦,0
âœ…Secret Weapon to Trumps successes!! *Hint Obama didnâ€™t have one https://t.co/MwxVOzSFi3,0
"25 June, 2023 - A massive landslide has occurred at the Jayaprithvi Highway, Sigas Rural Municipality - 9 of Province Sudurpashchim in District Baitadi. This natural hazard has caused disruption in traffic and put the lives of locals at risk. Residents are advised to avoid the area until the region is safe.",1
"ðŸš¨#BREAKING: Landslide reported at Jaya Prithvi Highway in Surnaya Rural Municipality-5, Baitadi district, Sudurpashchim province. Please exercise caution and avoid the area. Stay tuned for updates. #LandslideAlert #StaySafe ðŸš§ðŸŒ§ï¸",1
"ðŸš¨ Urgent Alert: Flood at Junichande Rural Municipality-11 ðŸš¨

ðŸŒŠ A devastating flood has occurred at Junichande Rural Municipality-11 in Jajarkot district, Karnali province. 

ðŸ“… Incident Date: 7/10/2020

ðŸ†˜ Authorities are working tirelessly to provide immediate relief and rescue operations. Please stay safe and follow the instructions given by local authorities.

#FloodAlert #StaySafe #JunichandeRuralMunicipality",1
bestinaus: Australia forest fires &amp; free mx backup services offered by Duocircle to backup enterprise emails -â€¦ https://t.co/535sRXPtWG,0
Airbnb offering free housing to Hurricane Dorian evacuees and relief workers https://www.miamiherald.com/news/weather/hurricane/article234632627.html …,0
"ðŸš¨ Urgent Update ðŸš¨
A devastating landslide has occurred in Baisari, Raghuganga Rural Municipality-3, Myagdi district, Gandaki province. Please stay safe and follow local authorities' instructions. #LandslideAlert #Myagdi #Gandaki",1
Panathinaikos fans banner in the EuroLeague game against Baskonia: 'Pain and solidarity have no borders. Courage to the Albanian people' Albania Albanian earthquake pray for Albania,1
Makes sense. Better to be proactive and not need it than to be reactive and have a disaster on your hands.ðŸ¤·â€â™‚ï¸,0
"Flash floods in ward eight of Raghuganga Rural Municipality, Myagdi District, Gandaki Province swept over Babiyachaur Bagar on June 20th, 2023. Days of torrential rains caused all nearby rivers to swell, displacing many families in the area and leaving a trail of destruction behind.",1
"Toiletries, diapers, & medicine are the best health items to donate to Hurricane Harvey victims #health3111 http://time.com/4924897/hurricane-harvey-health-donation-items/¬†‚Ä¶",0
". keeps walking away from startups : , : https://t.co/Spk97SgV7L #Time #Energyâ€¦ https://t.co/HsaW3je5Uc",0
"2023-06-20 - Heavy rain caused flooding in Bansbote of Hilihang Rural Municipality-1, Panchthar, on Wednesday. Roads and houses were adversely affected, but no injuries or fatalities were reported. Nepal Army is assisting the locals to control the flood situation.",1
Fatal shootings by police in 2018: ðŸ‡®ðŸ‡¸-0 ðŸ‡«ðŸ‡®-3 ðŸ‡¸ðŸ‡ª-6 ðŸ‡«ðŸ‡·-26 ðŸ‡¨ðŸ‡¦-36 ðŸ‡ºðŸ‡¸-992 Imagine: Walter Scottâ€”and so many othersâ€”would be alâ€¦,0
"ðŸš¨ Urgent Update ðŸš¨
A devastating landslide has occurred at Ghusmeli, Taman Khola Rural Municipality-1 in Baglung District, Gandaki Province. Our thoughts are with the affected community. Stay safe everyone! ðŸ’”ðŸ™ #LandslideAlert #PrayersForGhusmeli #StaySafeBaglung",1
twitter loves to ruin quality video yucc,0
"ðŸŒŠ Flood Alert! ðŸŒŠ
Stay safe, everyone! Heavy flooding has been reported in Madi Municipality-3, Chitwan. Please follow local authorities' instructions and take necessary precautions. Our thoughts are with the affected community. ðŸ’™ #FloodAlert #StaySafe #ChitwanStrong #MadiMunicipality",1
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒŠ Flood at Maryangkot, Kailash Rural Municipality-10 ðŸŒŠ

ðŸ“… Incident on: 7/12/2019
ðŸ“ Province: Bagmati
ðŸžï¸ District: Makwanpur
ðŸ¢ Municipality: Kailash
ðŸ˜ï¸ Ward: 10

Stay safe and stay tuned for further updates! ðŸ™ #FloodAlert #Maryangkot #KailashRuralMunicipality #StaySafe",1
"ðŸš¨Landslide AlertðŸš¨
A landslide has occurred at Nachanthali/Alugaira in Surnaya Rural Municipality-5, Baitadi district, Sudurpashchim province. Please exercise caution and stay safe. #Landslide #Baitadi #Sudurpashchim",1
"Imam Darimi narrated that after the Prophet left the world, Madinah faced severe drought and famine. The people of the ciâ€¦",0
"ðŸš¨ Urgent Update ðŸš¨
A devastating landslide has occurred at Anyaul-Kotkhola, Shikhar Municipality-2, Doti. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #LandslideAlert #Doti #StaySafe",1
"ðŸš¨ ALERT ðŸš¨

A devastating landslide has occurred in Arman, Raghuganga Rural Municipality-8, Myagdi. Stay safe and follow the instructions of local authorities. #Landslide #Myagdi #Nepal #StaySafe",1
gotta hand it to the weird gun girl for interviewing college kids and getting ruthlessly demolished each and every time anâ€¦,0
This heat wave is unnecessary.,0
how very helpful that because of a derailment in Hitchin 65 miles away you think people on BRIGHTON onlyâ€¦ https://t.co/BfqAtSMkl0,0
"ðŸŒŠ Flood Alert! ðŸŒŠ
A devastating flood hit Belbari Municipality-8 in Morang district, Koshi province. Stay safe and take necessary precautions. Our thoughts are with the affected community. â¤ï¸ #FloodAlert #BelbariFlood #StaySafe",1
Israeli authorities order Jerusalemite to demolish his home Via PIC https://t.co/MJ49qYbHKf,0
"ðŸš¨ Urgent Update ðŸš¨

ðŸŒ§ï¸ Landslide Alert ðŸŒ§ï¸

ðŸ“ Kapurkot Rural Municipality-3, Salyan, Karnali ðŸ”ï¸

ðŸ“… Incident Date: 6/27/2021

âš ï¸ Attention, everyone! A landslide has struck Kapurkot Rural Municipality-3 in Salyan district, Karnali province. Please stay safe and take necessary precautions. ðŸ™

#LandslideAlert #Kapurkot #Salyan #StaySafe #NaturalHazard #Karnali",1
"ðŸš¨ Urgent Alert ðŸš¨ 

ðŸ’” Landslide at Gaganea, Subha Kalika Rural Municipality-1 ðŸ’”

ðŸ“† Incident Date: 6/14/2021
ðŸ“ Province: Karnali
ðŸ—ºï¸ District: Kalikot
ðŸ¢ Municipality: Subha Kalika
ðŸ”¢ Ward: 1

ðŸ™ Our thoughts and prayers go out to the affected community. Stay safe and stay strong! ðŸ™

#Landslide #EmergencyResponse #StaySafe #SubhaKalika #Kalikot #Karnali",1
"ðŸš¨ ALERT ðŸš¨

ðŸŒŠ Flood at Bheriganga Municipality-4 ðŸŒŠ

ðŸ“… Incident on: 2021-10-19
ðŸ“ Province: Karnali
ðŸžï¸ District: Surkhet
ðŸ™ï¸ Municipality: Bheriganga
ðŸ¢ Ward: 4

Stay safe and follow local authorities' instructions. Our thoughts are with those affected. ðŸ™ #Flood #Nepal",1
Nalanda University A complete box of our history which was destroyed by invaders and city named after them Nalanda was destrâ€¦,0
"ðŸš¨ Urgent Alert ðŸš¨

ðŸŒ§ï¸ðŸ”ï¸ Landslide at Chainpur Municipality-11 ðŸŒ§ï¸ðŸ”ï¸

âš ï¸ A devastating landslide has occurred in Chainpur Municipality-11, Sankhuwasabha District, Koshi Province. Please exercise extreme caution and stay away from the affected area. 

ðŸ“… Incident Date: 10/19/2021
ðŸ“ Location: Chainpur Municipality-11, Sankhuwasabha District
ðŸš§ Authorities are working tirelessly to assess the situation and provide necessary support.

ðŸ™ Let's keep the affected community in our thoughts and prayers. Stay safe and stay informed. #Landslide #EmergencyResponse #StaySafe",1
"2023-06-18, a severe flood inundates Panchakhapan Municipality-8 of Sankhuwasabha district, Koshi province. The municipality reported severe damages to properties and loss of lives due to the deluge. Rescue teams are striving hard to help the distressed citizens.",1
State Department employees were taken hostage. We thought that the ruling class hated Americaâ€¦ https://t.co/CfZQnVgFL7,0
"Something really wishes you wouldn't know: that IAF gross negligence damaged 8 F-16s, compromising a key eleâ€¦",0
"Double barrel nose pick for Beans Lawrence, poor guy canâ€™t catch a break https://t.co/d5RkCP8zkp",0
Infinite combat focus and using heat wave with other specialists,0
"ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ Just looking at this, our tears can flood the whole KL maybeðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ #ìƒˆë¡œìš´_ì—‘ìŠ¤ì›_ê²°ì„±ì§€ì§€ #bring_back_NEWX1 https://t.co/G70Kn7ksâ€¦",0
"On Tuesday 29th June 2023, a major landslide occurred at Thulo Akar of Dharmadevi Muncipaility-8, Sankhuwasabha of Koshi province. The landslide has caused considerable damage and loss of property. Local authorities are currently carrying out an assessment of the extent of the damages and casualties.",1
"A massive landslide struck Alital Rural Municipality-3 of Dadeldhura on 2023-07-13, burying 10 households. The ward is located in Sudurpashchim Province. Local authorities are working on emergency rescue and relief efforts.",1
"So the caboose is ready for potty training. This morning I was scrambling to pick her clothes out. Suddenly, she diâ€¦ https://t.co/mKoYFF7DXM",0
I've heard it's touched places throughout the UK....but thankfully no reports of any injuries or fâ€¦ https://t.co/MQqACO4S11,0
"ðŸš¨ Flood Alert! ðŸŒŠ
Floods have struck Chame Rural Municipality-4 in Manang, Gandaki Province. Stay safe and follow local authorities' instructions. #Floods #StaySafe #ChameRuralMunicipality-4 #Manang #Gandaki",1
"ðŸ”¥ Forest Fire Alert! ðŸ”¥ A massive forest fire has broken out in Chhangru, Apihimal Rural Municipality-6, Darchula. Please stay safe and follow the instructions of local authorities. #ForestFire #Chhangru #Darchula #Nepal #StaySafe",1
"ðŸš¨ Urgent Update ðŸš¨
ðŸ’¦ Flood Alert ðŸ’¦

ðŸ“ Shipaghat, Indrawati Rural Municipality-9

ðŸ“… Incident on: 7/12/2019

ðŸŒ Province: Bagmati
ðŸžï¸ District: Sindhupalchok
ðŸ˜ï¸ Municipality: Indrawati
ðŸ¢ Ward: 9

Stay safe and take necessary precautions! ðŸ™ðŸ¼ #FloodAlert #StaySafe #IndrawatiRuralMunicipality",1
"ðŸ”¥ Forest Fire Alert! ðŸ”¥

ðŸ“ Location: Katunje, Sunkoshi Rural Municipality-10, Okhaldhunga, Koshi Province

ðŸš¨ On 4/27/2021, a devastating forest fire broke out in Ward 10 of Sunkoshi. Our thoughts are with the affected community at this difficult time.

ðŸ™ Let's come together and support the brave firefighters and local authorities in combating this natural disaster. Stay safe, everyone! ðŸŒ¿ðŸ’ª

#ForestFire #EmergencyAlert #StaySafe #SupportLocal #Okhaldhunga #Sunkoshi #KoshiProvince",1
Mass murderer.,0
I bet not see nobody on live running from the hurricane talking about I am trying to get shelter,0
How does what appears to be a fairly recent derailment in Hitchin cause the 6:51 KGX to CBG to be cancelled?,0
"ðŸš¨ Urgent Alert: Landslide at Simli, Kushma Municipality-11 ðŸš¨

âš ï¸ A devastating landslide occurred in Simli, Kushma Municipality-11 on 9/3/2021. Please exercise caution and stay safe!

ðŸ“ Location: Simli, Kushma Municipality-11, Parbat District, Province Gandaki.

ðŸ™ Our thoughts and prayers go out to the affected residents. Stay strong, Kushma!

#LandslideAlert #StaySafe #SimliKushma #ParbatDistrict #GandakiProvince",1
us government AlbanianEarthquake ,1
