,Unnamed: 0,title,hazard,incident_on,province,district,municipality,ward,text,target
720,720,"Earthquake at Madalbare, Laligurans Municipality-6",Earthquake,9/15/2020,Koshi,Terhathum,Laligurans,6,"🚨 Breaking News 🚨

An earthquake has struck Madalbare in Laligurans Municipality-6, Terhathum district in the Koshi province. Please stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #EarthquakeAlert #StaySafe",1
721,721,Earthquake at Phaktanglung Rural Municipality-6,Earthquake,4/25/2015,Koshi,Taplejung,Phaktanglung,6,"🚨 Breaking News 🚨 

An earthquake has struck Phaktanglung Rural Municipality-6 in Taplejung district of Koshi province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 Location: Phaktanglung, Taplejung

Please stay safe and follow all safety guidelines provided by the authorities. Our thoughts are with everyone affected by this natural disaster. 🙏💔

#Earthquake #Phaktanglung #Taplejung #StaySafe",1
722,722,Earthquake at Phidim Municipality-11,Earthquake,4/25/2015,Koshi,Panchthar,Phidim,11,"🚨 Just in: Earthquake reported in Phidim Municipality-11, Panchthar district, Koshi province. Stay safe and follow safety guidelines. #EarthquakeAlert",1
723,723,Earthquake at Illam Municipality-12,Earthquake,4/25/2015,Koshi,Ilam,Illam,12,"🚨 Just in: Earthquake strikes Illam Municipality-12 in Koshi Province, Ilam District! 🚨 Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #EarthquakeAlert #StaySafe #IllamMunicipality12",1
724,724,Earthquake at Barhadashi Rural Municipality-7,Earthquake,4/25/2015,Koshi,Jhapa,Barhadashi,7,"🚨 Just in! 🚨
An earthquake has struck Barhadashi Rural Municipality-7 in Jhapa district, Koshi province. Stay safe, everyone! 🙏🏼 #EarthquakeAlert #StaySafe #BarhadashiRuralMunicipality",1
725,725,Earthquake at Belbari Municipality-8,Earthquake,4/25/2015,Koshi,Morang,Belbari,8,"🚨 Urgent Update 🚨

We regret to inform you that an earthquake has struck Belbari Municipality-8 in Morang district, Koshi province. Please stay safe and follow all safety protocols. Our thoughts are with everyone affected by this disaster. #EarthquakeAlert #StaySafe #BelbariMunicipality8",1
726,726,Earthquake at Inaruwa Municipality-8,Earthquake,4/25/2015,Koshi,Sunsari,Inaruwa,8,"🚨 Breaking News 🚨

An earthquake has struck Inaruwa Municipality-8 in Sunsari district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #Earthquake #StaySafe #InaruwaMunicipality8",1
727,727,Earthquake at Dhankuta Municipality-2,Earthquake,4/25/2015,Koshi,Dhankuta,Dhankuta,2,"🚨 Breaking News 🚨 
An earthquake has struck Dhankuta Municipality-2 in Koshi Province! Please stay safe and follow all safety protocols. Our thoughts are with the people of Dhankuta during this difficult time. #EarthquakeAlert #StaySafe #DhankutaMunicipality #KoshiProvince",1
728,728,Earthquake at Phedap Rural Municipality-3,Earthquake,4/25/2015,Koshi,Terhathum,Phedap,3,"🚨 Earthquake Alert 🚨 

An earthquake has struck Phedap Rural Municipality-3 in Terhathum district, Koshi province. Stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Earthquake #StaySafe #Terhathum",1
729,729,Earthquake at Bhojpur Municipality-11,Earthquake,4/25/2015,Koshi,Bhojpur,Bhojpur,11,"🚨 Just in! 🚨
An earthquake has struck Bhojpur Municipality-11 in the Koshi Province. Stay safe, everyone! 🙏 #EarthquakeAlert #BhojpurMunicipality11 #StaySafe",1
730,730,Earthquake at Khandbari Municipality-7,Earthquake,4/25/2015,Koshi,Sankhuwasabha,Khandbari,7,"🚨 Earthquake Alert! 🚨

An earthquake has struck Khandbari Municipality-7 in Sankhuwasabha district, Koshi Province. Stay safe and follow all safety measures. Our thoughts are with everyone affected. #Earthquake #StaySafe #KhandbariMunicipality7",1
731,731,Earthquake at Halesi Tuwachung Municipality-11,Earthquake,4/25/2015,Koshi,Khotang,Halesi Tuwachung,11,"🚨 Earthquake Alert 🚨

An earthquake has struck Halesi Tuwachung Municipality-11 in Khotang district, Province: Koshi. Stay safe and follow local authorities' instructions. Our thoughts are with everyone affected. #Earthquake #StaySafe #HalesiTuwachungMunicipality11",1
732,732,Earthquake at Molung Rural Municipality-1,Earthquake,4/25/2015,Koshi,Okhaldhunga,Molung,1,"🚨 Breaking News 🚨 

An earthquake has struck Molung Rural Municipality-1 in Okhaldhunga district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #Okhaldhunga",1
733,733,Earthquake at Rautamai Rural Municipality-7,Earthquake,4/25/2015,Koshi,Udayapur,Rautamai,7,"🚨 Breaking News 🚨
An earthquake has struck Rautamai Rural Municipality-7 in Udayapur district, Koshi province! Stay safe and stay alert! #EarthquakeAlert #StaySafe #Rautamai #Udayapur #Koshi",1
734,734,Earthquake at Golbazar Municipality-13,Earthquake,4/25/2015,Madhesh,Siraha,Golbazar,13,"🚨 Urgent Update 🚨

An earthquake has struck Golbazar Municipality-13 in Siraha district, Madhesh province. Please stay safe and follow all safety precautions. Our thoughts are with everyone affected by this disaster. 🙏 #Earthquake #StaySafe #GolbazarMunicipality13 #SirahaDistrict",1
735,735,Earthquake at Rupani Rural Municipality-6,Earthquake,4/25/2015,Madhesh,Saptari,Rupani,6,"🚨 Urgent Notice 🚨
Earthquake Alert! 🌍⚠️

An earthquake struck Rupani Rural Municipality-6 in Saptari district, Madhesh province, on 4/25/2015. Please stay safe and follow safety measures. Our thoughts are with everyone affected. 🙏 #EarthquakeSafety #StaySafe #RupaniRuralMunicipality6",1
736,736,Earthquake at Dhanusadham Municipality-3,Earthquake,4/25/2015,Madhesh,Dhanusa,Dhanusadham,3,"""🚨 Urgent Announcement 🚨 

An earthquake measuring 7.8 on the Richter scale has struck Dhanusadham Municipality-3 in Dhanusa district, Madhesh province. Please stay safe and follow the instructions from local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe""",1
737,737,Earthquake at Aurahi Municipality-2,Earthquake,4/25/2015,Madhesh,Mahottari,Aurahi,2,"🚨 Breaking News 🚨

🌍 Earthquake at Aurahi Municipality-2 🌍

🌋 A powerful earthquake struck the beautiful town of Aurahi Municipality-2 in Mahottari district, Madhesh province. The incident occurred on 4/25/2015. 

🙏 Our thoughts and prayers are with the affected residents. Stay safe and stay strong, Aurahi! 💪

#Earthquake #AurahiMunicipality #StaySafe #PrayersForAurahi",1
738,738,Earthquake at Kamalamai Municipality-5,Earthquake,4/25/2015,Bagmati,Sindhuli,Kamalamai,5,"🚨 Breaking News 🚨

An earthquake has struck Kamalamai Municipality-5 in Sindhuli district of Bagmati province. Please stay safe and follow the instructions provided by local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KamalamaiMunicipality5 #Sindhuli #BagmatiProvince",1
739,739,Earthquake at Gokulganga Rural Municipality-4,Earthquake,4/25/2015,Bagmati,Ramechhap,Gokulganga,4,"🚨 Urgent Announcement 🚨

Earthquake Strikes Gokulganga Rural Municipality-4!

🌍 Incident Date: 4/25/2015
📍 Province: Bagmati
🏞️ District: Ramechhap
🏘️ Municipality: Gokulganga
🔴 Ward: 4

Please stay safe and follow all safety guidelines. Our thoughts are with the affected community. #Earthquake #StaySafe",1
740,740,Earthquake at Bigu Rural Municipality-1,Earthquake,4/25/2015,Bagmati,Dolakha,Bigu,1,"🚨 Urgent Announcement 🚨

An earthquake has struck Bigu Rural Municipality-1 in Dolakha district, Bagmati province. Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe",1
741,741,Earthquake at Gosaikunda Rural Municipality-4,Earthquake,4/25/2015,Bagmati,Rasuwa,Gosaikunda,4,"🚨 Breaking News 🚨

An earthquake has struck Gosaikunda Rural Municipality-4 in Rasuwa district of Bagmati Province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 Municipality: Gosaikunda
🏢 Ward: 4

Stay safe and stay tuned for updates. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe",1
742,742,Earthquake at Jugal Rural Municipality-2,Earthquake,4/25/2015,Bagmati,Sindhupalchok,Jugal,2,"🚨 Just in: Earthquake reported in Jugal Rural Municipality-2, Sindhupalchok, Bagmati Province. Stay safe and follow official instructions. 🙏 #EarthquakeAlert #StaySafe",1
743,743,Earthquake at Suryagadhi Rural Municipality-4,Earthquake,4/25/2015,Bagmati,Nuwakot,Suryagadhi,4,"🚨 Urgent Alert! 🚨

An earthquake has struck Suryagadhi Rural Municipality-4 in Nuwakot district of Bagmati province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #Nuwakot #Suryagadhi",1
744,744,Earthquake at Netrawati Dabjong Rural Municipality-1,Earthquake,4/25/2015,Bagmati,Dhading,Netrawati Dabjong,1,"🚨 BREAKING NEWS 🚨
A devastating earthquake struck Netrawati Dabjong Rural Municipality-1 in Dhading district, Bagmati province on 4/25/2015. Our thoughts and prayers are with the affected community. Stay safe, everyone! #EarthquakeAlert #NetrawatiDabjong #DhadingStrong 💔🙏",1
745,745,Earthquake at Kageshwori Manahora Municipality-9,Earthquake,4/25/2015,Bagmati,Kathmandu,Kageshwori Manahora,9,"🌍🚨 Breaking News 🚨🌍

📢 A devastating earthquake has struck Kageshwori Manahora Municipality-9 in the beautiful Bagmati Province! 🏔️🏢

🌪️ Stay safe, everyone! Our thoughts and prayers are with the people of Kathmandu District during this difficult time. 🙏

#Earthquake #KathmanduStrong #StaySafe",1
746,746,Earthquake at Konjyosom Rural Municipality-4,Earthquake,4/25/2015,Bagmati,Lalitpur,Konjyosom,4,"🚨 Earthquake Alert 🚨

An earthquake has been reported in Konjyosom Rural Municipality-4, Lalitpur District, Bagmati Province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #Earthquake #StaySafe #KonjyosomRuralMunicipality",1
747,747,Earthquake at Bhaktapur Municipality-9,Earthquake,4/25/2015,Bagmati,Bhaktapur,Bhaktapur,9,"🚨 Urgent Announcement 🚨

An earthquake has struck Bhaktapur Municipality-9 in the Bagmati Province. Please stay safe and follow all safety protocols. Our thoughts and prayers are with everyone affected by this natural disaster. 🙏 #Earthquake #Bhaktapur #StaySafe",1
748,748,Earthquake at Namobuddha Municipality-7,Earthquake,4/25/2015,Bagmati,Kavrepalanchok,Namobuddha,7,"🚨 Breaking News 🚨

An earthquake has struck Namobuddha Municipality-7 in Kavrepalanchok district, Bagmati province. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏 #EarthquakeAlert #StaySafe",1
749,749,Earthquake at Makawanpurgadhi Rural Municipality-5,Earthquake,4/25/2015,Bagmati,Makwanpur,Makawanpurgadhi,5,"🚨 Breaking News 🚨
An earthquake has struck Makawanpurgadhi Rural Municipality-5 in Bagmati Province! 🌍🔥

📅 Incident Date: 4/25/2015
📍 District: Makwanpur
🏢 Municipality: Makawanpurgadhi
🏘️ Ward: 5

Stay safe and stay tuned for more updates! 🙏 #Earthquake #StaySafe #Makawanpurgadhi",1
750,750,Earthquake at Brindaban Municipality-6,Earthquake,4/25/2015,Madhesh,Rautahat,Brindaban,6,"🚨 Urgent Announcement 🚨 

An earthquake has struck Brindaban Municipality-6 in Rautahat District, Madhesh Province. Please stay safe and follow all safety guidelines. Our thoughts are with everyone affected by this natural disaster. #EarthquakeAlert #StaySafe #BrindabanMunicipality6",1
751,751,Earthquake at Jitpur Simara Submetropolitan City-17,Earthquake,4/25/2015,Madhesh,Bara,Jitpur Simara,17,"🚨 Just in: Earthquake reported in Jitpur Simara Submetropolitan City-17! Stay safe, everyone! 🙏 #EarthquakeAlert #JitpurSimara #StaySafe",1
752,752,Earthquake at Thori Rural Municipality-5,Earthquake,4/25/2015,Madhesh,Parsa,Thori,5,"🚨 Breaking News 🚨
An earthquake has struck Thori Rural Municipality-5 in Parsa district, Madhesh province. Please stay safe and follow all precautionary measures. Our thoughts and prayers are with the affected people. 🙏 #Earthquake #StaySafe #ThoriRuralMunicipality",1
753,753,Earthquake at Bharatpur Metropolitan City-14,Earthquake,4/25/2015,Bagmati,Chitwan,Bharatpur,14,"🚨 Breaking News 🚨 

An earthquake has struck Bharatpur Metropolitan City-14 in the Bagmati Province of Nepal. Please stay safe and follow the instructions provided by local authorities. Our thoughts are with everyone affected by this natural disaster. 🙏🏼 #Earthquake #Bharatpur #StaySafe",1
754,754,"Landslide at Panchase, Putha Uttarganga Rural Municipality-4",Landslide,7/17/2023,Lumbini,Rukum East,Putha Uttarganga,4,"🚨 Urgent Alert 🚨

A devastating landslide occurred at Panchase, Putha Uttarganga Rural Municipality-4 in Rukum East district, Lumbini Province. Please stay safe and stay away from the affected area. Our thoughts are with the affected community. #Landslide #StaySafe #RukumEast",1
755,755,Landslide at Putha Uttarganga Rural Municipality-4,Landslide,7/17/2023,Lumbini,Rukum East,Putha Uttarganga,4,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at Putha Uttarganga Rural Municipality-4 in Rukum East District, Lumbini Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #StaySafe #PuthaUttarganga #RukumEast",1
756,756,"Landslide at Chamchet, Aarughat Rural Municipality-1",Landslide,7/15/2022,Gandaki,Gorkha,Aarughat,1,"🚨 Urgent Alert 🚨

A devastating landslide occurred at Chamchet, Aarughat Rural Municipality-1 in Gorkha district, Gandaki Province. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. #Landslide #StaySafe #Gorkha #Nepal",1
757,757,"Landslide at Chumehet, Aarughat Rural Municipality-1",Landslide,7/13/2022,Gandaki,Gorkha,Aarughat,1,"🚨 Urgent Update 🚨

A devastating landslide has occurred at Chumehet, Aarughat Rural Municipality-1 in Gorkha District, Gandaki Province. Please stay safe and avoid the affected area. Our thoughts are with the affected community. #LandslideAlert #StaySafe #GorkhaStrong 💔🙏🏼",1
758,758,"Landslide at Majhitole, Thulung Dudhkoshi Rural Municipality-5",Landslide,7/13/2022,Koshi,Solukhumbu,Thulung Dudhkoshi,5,"🚨 Urgent Alert: Landslide at Majhitole, Thulung Dudhkoshi Rural Municipality-5 🚨

📅 Incident Date: 7/13/2022
📍 Province: Koshi
🏔 District: Solukhumbu
🏢 Municipality: Thulung Dudhkoshi
🔴 Ward: 5

Attention everyone! A devastating landslide has occurred at Majhitole in Thulung Dudhkoshi Rural Municipality-5. Please stay safe and follow local authorities' instructions. Our thoughts are with the affected community. 🙏

#LandslideAlert #SafetyFirst #StaySafe #Solukhumbu #ThulungDudhkoshi #Koshi",1
759,759,"Landslide at Gairigaun, Siranchok Rural Municipality-6",Landslide,7/12/2022,Gandaki,Gorkha,Siranchok,6,"🚨 Urgent Notice 🚨

A devastating landslide occurred at Gairigaun, Siranchok Rural Municipality-6 in Gorkha district. Please stay safe and avoid the affected area. Our thoughts are with everyone affected by this natural disaster. #Landslide #StaySafe #GorkhaStrong 💔🙏🏽",1
760,760,Landslide at Khandachakra Municipality-1,Landslide,7/10/2022,Karnali,Kalikot,Khandachakra,1,"🚨 Urgent Update: Landslide at Khandachakra Municipality-1 🚨

⚠️ A devastating landslide occurred in Khandachakra Municipality-1, Kalikot District, Karnali Province on 7/10/2022. Our thoughts are with the affected community.

🆘 Emergency services are on high alert, working tirelessly to provide assistance and support to those affected. Please stay safe and follow the instructions of local authorities.

#LandslideAlert #KhandachakraMunicipality #KalikotDistrict #StaySafe",1
761,761,"Landslide at Bhaladi, Satyawati Rural Municipality-6",Landslide,7/9/2022,Lumbini,Gulmi,Satyawati,6,"🚨 Urgent Update 🚨

Attention everyone! A devastating landslide has occurred at Bhaladi, Satyawati Rural Municipality-6 in Gulmi district, Lumbini Province. 🌧️⛰️

Please stay safe and avoid the affected area until further notice. Our thoughts are with the residents of Satyawati Ward 6 during this difficult time. 💔

#LandslideAlert #StaySafe #GulmiDistrict #PrayersForSatyawati",1
762,762,"Landslide at Galda, Nisdi Rural Municipality-5",Landslide,7/9/2022,Lumbini,Palpa,Nisdi,5,"🚨 Urgent Disaster Alert 🚨

🌧️ Landslide at Galda, Nisdi Rural Municipality-5 🌧️

We regret to inform you that a devastating landslide has occurred in Galda, Nisdi Rural Municipality-5, Palpa district, Lumbini province. The incident took place on 7/9/2022.

🙏 Our thoughts and prayers are with the affected community. Stay strong! 🙏

#LandslideAlert #GaldaLandslide #NisdiRuralMunicipality #PalpaDistrict #LumbiniProvince",1
763,763,"Landslide at Sunnu, Sayal Rural Municipality-5",Landslide,7/9/2022,Sudurpashchim,Doti,Sayal,5,"🚨 Urgent Alert: Landslide at Sunnu, Sayal Rural Municipality-5 🚧

We regret to inform you that a devastating landslide occurred in Sunnu, Sayal Rural Municipality-5 on 7/9/2022. The incident took place in Sudurpashchim Province, Doti District. Our thoughts are with the affected community in this difficult time. Stay safe, everyone! #LandslideAlert #StaySafe #DotiStrong",1
764,764,"Landslide at Dauri, Panchpuri Municipality-7",Landslide,7/5/2022,Karnali,Surkhet,Panchpuri,7,"🚨 Urgent Notice 🚨

We regret to inform you about a devastating landslide that occurred in Dauri, Panchpuri Municipality-7, Surkhet. Our thoughts and prayers go out to the affected families. Please stay safe and follow the instructions from local authorities. #LandslideAlert #StaySafe #PrayersForDauri",1
765,765,"Landslide at Parigaun, Naugad Rural Municipality-6",Landslide,7/3/2022,Sudurpashchim,Darchula,Naugad,6,"🚨 Urgent Alert: Landslide at Parigaun, Naugad Rural Municipality-6 🚨

Attention everyone! A landslide has occurred at Parigaun, Naugad Rural Municipality-6 in Darchula district, Sudurpashchim Province. Please stay safe and avoid the affected area. We will provide updates as soon as we have more information. #LandslideAlert #StaySafe #Darchula #Naugad",1
766,766,"Landslide at SANJHMELA, Chhedagad Municipality-6",Landslide,7/3/2022,Karnali,Jajarkot,Chhedagad,6,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at SANJHMELA in Chhedagad Municipality-6, Jajarkot. Please stay safe and avoid the affected area. Our thoughts and prayers are with the affected community. #Landslide #StaySafe #Jajarkot",1
767,767,"Landslide at Bangabazer, Mahakali_Darchula Municipality-4",Landslide,7/2/2022,Sudurpashchim,Darchula,Mahakali_Darchula,4,"🚨 Urgent Notice 🚨

A devastating landslide has occurred at Bangabazer, Mahakali_Darchula Municipality-4 in Darchula district, Sudurpashchim Province. Please stay safe and avoid the affected area. Our thoughts and prayers are with everyone affected by this natural disaster. #LandslideAlert #StaySafe #PrayersForDarchula",1
768,768,"Landslide at Phadi, Kepilasagadhi Rural Municipality-1",Landslide,7/2/2022,Koshi,Khotang,Kepilasagadhi,1,"🚨 Urgent Update 🚨

A devastating landslide has occurred at Phadi, Kepilasagadhi Rural Municipality-1 in Khotang district of Province-1. Please stay alert and take necessary precautions. Our thoughts are with the affected community. #Landslide #Khotang #StaySafe",1
769,769,"Landslide at Bidin, Falelung Rural Municipality-7",Landslide,7/1/2022,Koshi,Panchthar,Falelung,7,"🚨 Urgent Update 🚨

A devastating landslide has occurred in Bidin, Falelung Rural Municipality-7. Please stay safe and stay away from the affected area. Our thoughts are with everyone in the community. 🙏💔

#LandslideAlert #StaySafe #Bidin #Falelung #Panchthar #Koshi",1
770,770,"Landslide at Gorunda, Umakunda Rural Municipality-2",Landslide,7/1/2022,Bagmati,Ramechhap,Umakunda,2,"🚨 Urgent Announcement 🚨

Attention, everyone! A devastating landslide has occurred at Gorunda, Umakunda Rural Municipality-2 in Ramechhap district. Please stay safe and avoid the affected area. Our thoughts are with the residents of Umakunda Ward-2 during this difficult time. 🙏

#LandslideAlert #StaySafe #UmakundaRuralMunicipality",1
771,771,Landslide at Rawa Besi Rural Municipality-6,Landslide,7/1/2022,Koshi,Khotang,Rawa Besi,6,"🚨 Urgent Update 🚨

Attention everyone in Khotang District! A devastating landslide has occurred in Rawa Besi Rural Municipality-6. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. 🙏 #LandslideAlert #StaySafe #KhotangDistrict",1
772,772,"Landslide at Bakhre, Molung Rural Municipality-7",Landslide,7/1/2022,Koshi,Okhaldhunga,Molung,7,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at Bakhre, Molung Rural Municipality-7 in Okhaldhunga district, Koshi province. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #Landslide #StaySafe #Okhaldhunga",1
773,773,"Landslide at Gairigau, Sotang Rural Municipality-5",Landslide,6/29/2022,Koshi,Solukhumbu,Sotang,5,"🚨 Urgent Alert! 🚨 

A devastating landslide has occurred at Gairigau, Sotang Rural Municipality-5. Please be cautious and stay away from the affected area. Our thoughts and prayers are with the people of Solukhumbu district. #Landslide #StaySafe #SolukhumbuStrong 🙏🏻",1
774,774,"Landslide at Mahabir, Dharmadevi Municipality-1",Landslide,6/29/2022,Koshi,Sankhuwasabha,Dharmadevi,1,"🚨 Urgent News 🚨
A devastating landslide occurred in Mahabir, Dharmadevi Municipality-1. Please stay safe and avoid the affected area. Our thoughts are with the residents of Sankhuwasabha, Koshi Province. 🙏 #LandslideAlert #StaySafe #Sankhuwasabha #KoshiProvince",1
775,775,"Landslide at Salte, Chhathar Jorpati Rural Municipality-2",Landslide,6/29/2022,Koshi,Dhankuta,Chhathar Jorpati,2,"🚨 Urgent Update 🚨

A devastating landslide has occurred at Salte, Chhathar Jorpati Rural Municipality-2 in Dhankuta district. Please stay safe and avoid the affected area. Our thoughts are with the residents of Chhathar Jorpati Ward 2 in this difficult time. #LandslideAlert #StaySafe #DhankutaStrong",1
776,776,"Landslide at Jaluke, Malika Rural Municipality-3",Landslide,6/29/2022,Lumbini,Gulmi,Malika,3,"🚨 Urgent Update 🚨

Attention everyone in Lumbini Province, Gulmi District! A landslide has occurred in Jaluke, Malika Rural Municipality-3. Please stay safe and follow the instructions of local authorities. Our thoughts are with the affected community. #StaySafe #LandslideAlert #GulmiStrong",1
777,777,"Landslide at Khedok, Falelung Rural Municipality-5",Landslide,6/29/2022,Koshi,Panchthar,Falelung,5,"🚨 Urgent Alert: Landslide at Khedok, Falelung Rural Municipality-5 🚨

A devastating landslide occurred in Khedok, Falelung Rural Municipality-5, Panchthar District, Koshi Province, on 6/29/2022. Please stay safe and follow the instructions from local authorities. Our thoughts and prayers are with the affected community. 🙏 #LandslideAlert #StaySafe #FalelungRuralMunicipality5",1
778,778,"Landslide at Majhgaun, Butwal Submetropolitan City-11",Landslide,6/28/2022,Lumbini,Rupandehi,Butwal,11,"🚨 Urgent Announcement 🚨

A devastating landslide has occurred at Majhgaun, Butwal Submetropolitan City-11. Please stay safe and avoid the affected area. Our thoughts are with the residents of Butwal. #LandslideAlert #StaySafe #ButwalStrong #PrayersForButwal",1
779,779,"Landslide at Simara, Krishnanagar Municipality-1",Landslide,6/28/2022,Lumbini,Kapilbastu,Krishnanagar,1,"🚨 Urgent Notice 🚨

🌧️ A devastating landslide has occurred in Simara, Krishnanagar Municipality-1! 🌧️

📅 Incident Date: 6/28/2022
📍 Province: Lumbini
🏞️ District: Kapilbastu
🏢 Municipality: Krishnanagar
🌆 Ward: 1

Please stay safe and avoid the affected area. Our thoughts are with the affected families. 💔

#LandslideAlert #StaySafe #SimaraLandslide #KrishnanagarMunicipality",1
780,780,"Landslide at Lata, Kuse Rural Municipality-8",Landslide,6/28/2022,Karnali,Jajarkot,Kuse,8,"🚨 Urgent Update 🚨

A devastating landslide has occurred in Lata, Kuse Rural Municipality-8, Jajarkot. Our thoughts and prayers are with all the affected families. Stay safe and stay tuned for more updates. 🙏

#LandslideAlert #PrayForLata #StaySafe",1
781,781,"Landslide at Milanchong, Butwal Submetropolitan City-9",Landslide,6/28/2022,Lumbini,Rupandehi,Butwal,9,"🚨 Urgent Update! 🚨 

A devastating landslide occurred at Milanchong, Butwal Submetropolitan City-9 in Rupandehi district, Lumbini province. Our thoughts are with the affected community. Stay safe, everyone! #LandslideAlert #Butwal #StaySafe",1
782,782,"Landslide at Liwang, Gaumukhi Rural Municipality-6",Landslide,6/28/2022,Lumbini,Pyuthan,Gaumukhi,6,"🚨 Urgent Alert 🚨

Attention everyone in Lumbini province! A devastating landslide has occurred at Liwang, Gaumukhi Rural Municipality-6 in Pyuthan district. Please exercise extreme caution and stay away from the affected area. Our thoughts and prayers are with the residents of Ward 6. Stay safe! #LandslideAlert #PyuthanDistrict #StaySafe",1
783,783,"Landslide at Khutuki, Umakunda Rural Municipality-6",Landslide,6/28/2022,Bagmati,Ramechhap,Umakunda,6,"🚨 Urgent Notice 🚨

We regret to inform you that a devastating landslide has occurred in Khutuki, Umakunda Rural Municipality-6, Ramechhap District. Please stay safe and follow the instructions of local authorities. Our thoughts are with everyone affected by this natural disaster. #StaySafe #LandslideAlert #Umakunda",1
784,784,"Landslide at Dillikote, Mahawai Rural Municipality-4",Landslide,6/26/2022,Karnali,Kalikot,Mahawai,4,"🚨 Urgent Alert 🚨
A devastating landslide occurred at Dillikote, Mahawai Rural Municipality-4 in Kalikot District, Karnali Province. Please stay safe and take necessary precautions. Our thoughts are with the affected community. #Landslide #StaySafe #Kalikot #Mahawai",1
785,785,"Landslide at Bamdi, Pokhara Lekhnath Metropolitan City-23",Landslide,6/26/2022,Gandaki,Kaski,Pokhara Lekhnath,23,"🚨 Urgent Update 🚨
A devastating landslide has occurred at Bamdi, Pokhara Lekhnath Metropolitan City-23. Please stay safe and avoid the affected area. Our thoughts are with the people of Gandaki Province, Kaski District, and Pokhara Lekhnath Municipality-23. #StaySafe #LandslideAlert",1
786,786,Landslide at Machhapuchchhre Rural Municipality-5,Landslide,6/26/2022,Gandaki,Kaski,Machhapuchchhre,5,"🚨 Urgent Update 🚨 

A devastating landslide has occurred at Machhapuchchhre Rural Municipality-5 in Kaski district, Gandaki province. Our thoughts are with the affected community during this difficult time. Stay safe and stay tuned for more updates. #LandslideAlert #StaySafe #PrayersForMachhapuchchhreRuralMunicipality5",1
787,787,"Landslide at Phusre, Annapurna Rural Municipality-1",Landslide,6/26/2022,Gandaki,Kaski,Annapurna,1,"🚨 Urgent Alert 🚨

A devastating landslide has occurred at Phusre, Annapurna Rural Municipality-1, Kaski District. Please stay safe and avoid the affected area. Authorities are working to provide assistance. Our thoughts are with the affected community. #Landslide #StaySafe #AnnapurnaRuralMunicipality",1
788,788,Landslide at Machhapuchchhre Rural Municipality-4,Landslide,6/26/2022,Gandaki,Kaski,Machhapuchchhre,4,"🚨 Urgent Announcement 🚨 

A devastating landslide has occurred at Machhapuchchhre Rural Municipality-4, Kaski District, Gandaki Province. Please stay safe and avoid the affected area. Our thoughts and prayers are with the community during this difficult time. #Landslide #StaySafe",1
789,789,Landslide at Naukunda Rural Municipality-4,Landslide,6/26/2022,Bagmati,Rasuwa,Naukunda,4,"🚨 Urgent Alert 🚨

A devastating landslide has occurred in Naukunda Rural Municipality-4, Rasuwa District, Bagmati Province. Please stay safe and avoid the affected area. Our thoughts are with the residents of Ward 4. #LandslideAlert #StaySafe #NaukundaRuralMunicipality",1
790,790,"Landslide at Hemja, Pokhara Lekhnath Metropolitan City-25",Landslide,6/25/2022,Gandaki,Kaski,Pokhara Lekhnath,25,"🚨 Urgent Update 🚨

🌧️ Landslide Alert 🌧️

Attention residents of Hemja, Pokhara Lekhnath Metropolitan City-25! A landslide has been reported in your area. Please exercise caution and stay away from the affected zone.

📅 Incident Date: 6/25/2022
📍 Province: Gandaki
🏢 District: Kaski
🏙️ Municipality: Pokhara Lekhnath
🏘️ Ward: 25

Stay safe and follow local authorities' instructions. Our thoughts are with you during this challenging time. 🙏

#LandslideAlert #SafetyFirst #HemjaLandslide #StaySafe",1
